abstract_id,abstract_title,session_title,ground_truth,default_model_success,default_model_indication,default_model_confidence,default_model_word_count,default_model_length,default_model_clinical_terms,default_model_complexity,default_model_has_abbreviations,default_model_has_parentheses,default_model_error,inter_model_avg_similarity,inter_model_consensus
180300,Clinical Presentation of Patients with Adult Late-Onset Telomere Biology Disorders - Results from the Aachen Telomeropathy Registry,Bone Marrow Failure: Poster I,Adult Late-Onset Telomere Biology Disorder,True,Adult Late Onset Telomere Biology Disorder,,6,42,1,0.4,False,False,,,No comparison
327760,Clinical and Molecular Characterization of Newly Diagnosed IDH/TP53 Co-Mutated AML and Impact of Genomically Sensitive Treatment Strategies,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster II",Newly Diagnosed IDH-Mutated TP53-Mutated Acute Myeloid Leukemia,True,Newly Diagnosed IDH/TP53 Co-Mutated Acute Myeloid Leukemia,,7,58,3,0.6499999999999999,True,False,,,No comparison
311376,Sputum RA-Associated Autoantibodies Independently Associate with Future Development of Classified RA in an At-Risk Cohort of Individuals with Systemic Anti-CCP Positivity,"Abstracts: RA - Diagnosis, Manifestations, and Outcomes I: Pre- and Early Disease",Rheumatoid Arthritis,True,Anti-CCP-Positive Rheumatoid Arthritis,,3,38,1,0.25,True,False,,,No comparison
229467,"The novel adjuvant, ADA-1, restores age-associated defects in the adaptive immune response to Clostridioides difficile infection and vaccination in an aging mouse model",Vaccines and Immunity against Bacteria and Parasites,Clostridioides Difficile Infection,True,Elderly Clostridioides Difficile Infection,,4,42,0,0.2,False,False,,,No comparison
327778,The LSC17 Score Correlates with the ELN 2022 Classification of AML and Is an Independent Predictor of Detectable Measurable Residual Disease after Induction Chemotherapy,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster III",Acute Myeloid Leukemia,True,Acute Myeloid Leukemia,,3,22,2,0.35,False,False,,,No comparison
147554,Antibodies To Pegylated E. Coli Asparaginase Predict The Occurrence Of Hypersensitivity Reactions In High-Risk Patients Undergoing The Consolidation Phase Of The Aieop-Bfm All 2009 Protocol.,Acute Lymphoblastic Leukemia - Clinical,High-Risk Acute Lymphoblastic Leukemia,True,High-Risk Acute Lymphoblastic Leukemia,,4,38,2,0.4,False,False,,,No comparison
327789,"Multiomic Single-Cell Sequencing of Mixed Phenotypic Acute Leukemia (MPAL) Reveals Complex Immunophenotypic, Transcriptional, and Genetic Heterogeneity","Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster III",Mixed Phenotypic Acute Leukemia,True,Mixed Phenotypic Acute Leukemia,,4,31,2,0.4,False,False,,,No comparison
213104,What Clinical Innovations and Other Interventions Are Needed?,Quality Improvement Summit: Laying the Foundation for Primary Palliative Care in Urology,,True,Urologic Disease,,2,16,1,0.2,False,False,,,No comparison
393329,A Phase 1 Study Of Bal0891 As Monotherapy And In Combination With Chemotherapy In Patients With Advanced Solid Tumors.,Developmental Therapeutics,Advanced Solid Tumor,True,Advanced Solid Tumor,,3,20,2,0.35,False,False,,,No comparison
376946,Automated Metrics From The Electronic Health Record Enable Evaluation Of Palliative Care In Patients With Acute Myeloid Leukaemia: A Data Science Approach,Quality of life and palliative care,Acute Myeloid Leukemia,True,Acute Myeloid Leukemia,,3,22,2,0.35,False,False,,,No comparison
262259,Multiplex Deletion Of Myeloid Antigens Cd33 And Cll-1 By Crispr/Cas9 In Human Hematopoietic Stem Cells Highlights The Potential Of Next-Generation Transplants For Aml Treatment.,"Gene therapy, cellular immunotherapy and vaccination - Biology & Translational Research",Acute Myeloid Leukemia,True,Acute Myeloid Leukemia,,3,22,2,0.35,False,False,,,No comparison
229493,Pan-coronavirus neutralizing S2 human monoclonal antibodies and utility of direct respiratory administration as combination therapy with S1 antibodies against SARS-CoV-2,Vaccination and immunotherapy against COVID-19,SARS-CoV-2 Infection,True,COVID-19,,1,8,0,0.05,True,False,,,No comparison
393337,Efficacy And Safety Of High-Dose Chemotherapy As Second Or Subsequent Salvage Therapy In Relapsed Or Refractory Germ Cell Cancer Patients: A Multicentric Analysis,Germ Cell (Testicular) Cancer And Penile Cancer,Relapsed or Refractory Germ Cell Cancer,True,Second-Line Relapsed/Refractory Germ Cell Cancer;;Later-Line Relapsed/Refractory Germ Cell Cancer,,9,97,3,0.75,False,False,,,No comparison
376961,Lifetime Clinical Outcomes Of Cpx-351 Versus 7+3 Modeled From The 5-Year Results Of A Randomized Phase 3 Trial For Older Adults With Newly Diagnosed High-Risk Or Secondary Acute Myeloid Leukaemia,Acute myeloid leukemia - Clinical,Elderly Newly Diagnosed High-Risk Secondary Acute Myeloid Leukaemia,True,Elderly Newly Diagnosed High-Risk Acute Myeloid Leukemia;;Elderly Newly Diagnosed Secondary Acute Myeloid Leukemia,,13,114,3,0.95,False,False,,,No comparison
295042,Invited Discussant 1312O and 1313O,Proffered Paper session: Policy and preventive strategies,,True,No indication found,,3,19,0,0.15,False,False,,,No comparison
229509,Osteoclast differentiation alters monocyte inflammatory responses to Staphylococcus aureus,Cells of the Innate Immune System,Staphylococcus Aureus Infection,True,Staphylococcus Aureus Infection,,3,31,0,0.15,False,False,,,No comparison
180358,Targeting Metabolic Vulnerabilities in Primary Effusion Lymphoma Using the Novel Nucleoside Analog 6-Eti,Molecular Pharmacology and Drug Resistance: Lymphoid Neoplasms: Poster I,Primary Effusion Lymphoma,True,Primary Effusion Lymphoma,,3,25,1,0.25,False,False,,,No comparison
327817,Connecting Genetic Heterogeneity with Single-Cell Transcriptome Dysregulations in Pediatric Acute Myeloid Leukemia,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster I",Pediatric Acute Myeloid Leukemia,True,Pediatric Acute Myeloid Leukemia,,4,32,2,0.4,False,False,,,No comparison
311433,Overall and Post-vaccination Prevalence of Severe COVID-19-related Events Among Commercially Insured Patients with Systemic Lupus Erythematosus and the General U.S. Population,"Abstracts: SLE - Diagnosis, Manifestations, and Outcomes II: Complications",Systemic Lupus Erythematosus,True,Severe COVID-19;;Systemic Lupus Erythematosus,,4,45,1,0.30000000000000004,True,False,,,No comparison
327823,Quantitative Impact of Mutated NPM1 MRD in Patients with AML Undergoing Allogeneic Stem Cell Transplantation,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster I",NPM1-Mutated Acute Myeloid Leukemia,True,NPM1-Mutated Acute Myeloid Leukemia,,4,35,2,0.4,False,False,,,No comparison
311447,CAR T Cell Treatment of Refractory Systemic Lupus Erythematosus,Abstracts: SLE - Treatment,Refractory Systemic Lupus Erythematosus,True,Refractory Systemic Lupus Erythematosus,,4,39,1,0.30000000000000004,False,False,,,No comparison
311449,Hydroxychloroquine Dosing Less Than 5 Mg/kg/day Leads to Increased Hospitalizations for Systemic Lupus Erythematosus Flares,Abstracts: SLE - Treatment,Systemic Lupus Erythematosus,True,Systemic Lupus Erythematosus Flare,,4,34,0,0.2,False,False,,,No comparison
409754,Audience Q&A,Regulating the Regulator: Exploring the Therapeutic Landscape for Complement-Mediated Kidney Diseases,,True,Complement-Mediated Kidney Disease,,3,34,1,0.25,False,False,,,No comparison
393371,Ccne1 Amplification Defines A Good Prognostic Subgroup Among Brcawt/Hrdneg Advanced High-Grade Ovarian Cancer (Hgoc),Gynaecological Cancers,Advanced High-Grade Ovarian Cancer,True,CCNE1-Amplified BRCA Wild-Type HRD-Negative Advanced High Grade Ovarian Cancer,,9,78,4,0.8500000000000001,True,False,,,No comparison
262300,Monoallelic And Biallelic Germline Mutations Affecting The Transcription Factor Helios Cause Pleiotropic Defects Of Immunity,"Hematopoiesis, stem cells and microenvironment",,True,Helios-Mutated Germline Pleiotropic Defect of Immunity,,6,54,0,0.3,False,False,,,No comparison
393379,Correlation Between Chemotherapy Response Score (Crs) And Germline Brca1/2 (Gbrca) Status In Women Diagnosed With Figo Stage Iiic/Iv High-Grade Serous Ovarian Cancer (Hgsoc),Gynaecological Cancers,Stage IIIc/IV High-Grade Serous Ovarian Cancer,True,Stage IIIC/IV High Grade Serous Ovarian Cancer,,7,46,3,0.6499999999999999,True,False,,,No comparison
213157,Society for the Study of Male Reproduction (SSMR),Society for the Study of Male Reproduction (SSMR),,True,No indication found,,3,19,0,0.15,False,False,,,No comparison
393382,The Predictive Role Of Circulating Exosomal Pd-L1 In Cervical Cancer Immunotherapy,Gynaecological Cancers,Cervical Cancer,True,Cervical Cancer,,2,15,1,0.2,False,False,,,No comparison
344232,Chair Introduction,Intercepting Molecular Residual Disease in the Clinic,,True,Molecular Residual Disease,,3,26,1,0.25,False,False,,,No comparison
180389,Safety and Efficacy of Isavuconazole in Patients Aged 65 Years or Older with Invasive Fungal Disease: A Post-Hoc Analysis from the VITAL and Secure Studies,Acute Myeloid Leukemias: Clinical and Epidemiological: Poster I,Elderly Invasive Fungal Disease,True,Elderly Invasive Fungal Disease,,4,31,1,0.30000000000000004,False,False,,,No comparison
180390,Clinical Characteristics Associated with Venous Thromboembolism in Patients with Non-APL Acute Myeloid Leukemia,Acute Myeloid Leukemias: Clinical and Epidemiological: Poster I,Venous Thromboembolism;;Acute Myeloid Leukemia,True,Venous Thromboembolism;;Non-APL Acute Myeloid Leukemia,,5,54,2,0.45,True,False,,,No comparison
262320,"Brentuximab Vedotin, Etoposide, Solumedrol, High Dose Ara-C & Platinum Followed By Hdt & Apbsct For Refractory/Relapsed Hodgkin Lymphoma Patients: Long-Term Results Of The Geltamo Group Breshap Study",Hodgkin lymphoma - Clinical,Refractory/Relapsed Hodgkin Lymphoma,True,Refractory/Relapsed Hodgkin Lymphoma,,3,36,3,0.44999999999999996,False,False,,,No comparison
180403,Updated Results from a Phase II Study of Hyper-CVAD with Sequential Blinatumomab in Adults with Newly Diagnosed Philadelphia Chromosome-Negative B-Cell Acute Lymphoblastic Leukemia,"Acute Lymphoblastic Leukemias: Therapies, Excluding Transplantation and Cellular Immunotherapies: Poster I",Adult Newly Diagnosed Ph-Negative B-Cell Acute Lymphoblastic Leukemia,True,Adult Newly Diagnosed Philadelphia Chromosome-Negative B-Cell Acute Lymphoblastic Leukemia,,9,90,4,0.8500000000000001,False,False,,,No comparison
327859,Robust Validation of the UKALL High Hyperdiploid Risk Profile Using Individual Patient Data Collected By the Harmony Alliance,"Acute Lymphoblastic Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster II",Acute Lymphoblastic Leukemia,True,High Hyperdiploid Acute Lymphoblastic Leukemia,,5,46,2,0.45,False,False,,,No comparison
393400,Tumor-Informed Ctdna Detection As A Predictive Marker For Postoperative Residual Disease In Epithelial Ovarian Cancer: A Feasibility Study,Gynaecological Cancers,Epithelial Ovarian Cancer,True,Residual Epithelial Ovarian Cancer,,4,34,1,0.30000000000000004,False,False,,,No comparison
327865,Clinical Significance of IGH Clonality Analysis with RNA Sequencing in B-Cell Precursor Acute Lymphoblastic Leukemia,"Acute Lymphoblastic Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster III",B-Cell Precursor Acute Lymphoblastic Leukemia,True,B-Cell Precursor Acute Lymphoblastic Leukemia,,5,45,2,0.45,False,False,,,No comparison
327866,The Rise and Fall of Leukemia Clones in Longitudinal Samples from Diagnosis to Relapse in KMT2A-rearranged Infant and Childhood Leukemia,"Acute Lymphoblastic Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster III",Relapsed KMT2A-Rearranged Infant Childhood Leukemia,True,Infant Relapsed KMT2A-Rearranged Leukemia;;Childhood Relapsed KMT2A-Rearranged Leukemia,,7,87,2,0.55,False,False,,,No comparison
262328,"Pirtobrutinib, A Highly Selective, Non-Covalent (Reversible) Btk Inhibitor In Previously Treated Mantle Cell Lymphoma: Updated Results From The Phase 1/2 Bruin Study",Indolent and mantle-cell non-Hodgkin lymphoma - Clinical,Previously Treated Mantle Cell Lymphoma,True,Previously Treated Mantle Cell Lymphoma,,5,39,2,0.45,False,False,,,No comparison
393407,Mental And Socioeconomic Burden In Co-Parents And Children Of Patients With Endometrial And Cervical Cancer: A Swedish Population-Based Study,Gynaecological Cancers,Childhood Endometrial Cancer;;Childhood Cervical Cancer,True,Endometrial Cancer;;Cervical Cancer,,3,35,1,0.25,False,False,,,No comparison
147649,Phase 1 First-In-Human Study Of Irreversible Flt3 Inhibitor Ff-10101-01 In Relapsed Or Refractory Acute Myeloid Leukemia,Acute Myeloid Leukemia - Clinical,Relapsed/Refractory Acute Myeloid Leukemia,True,Relapsed/Refractory Acute Myeloid Leukemia,,4,42,4,0.6000000000000001,False,False,,,No comparison
327877,The Influence of Genetic Ancestry on Disease Biology in Pediatric T-Cell Acute Lymphoblastic Leukemia,"Acute Lymphoblastic Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster I",Pediatric T-Cell Acute Lymphoblastic Leukemia,True,Pediatric T-Cell Acute Lymphoblastic Leukemia,,5,45,2,0.45,False,False,,,No comparison
311500,"A Randomized, Double-Blind, Phase II Study of Glucocorticoid Replacement by Vilobelimab, an Anti-C5a Monoclonal Antibody, in ANCA-Associated Vasculitis",Abstracts: Vasculitis - ANCA-Associated,ANCA-Associated Vasculitis,True,ANCA-Associated Vasculitis,,2,26,0,0.1,True,False,,,No comparison
180429,Modified Intensive Induction Treatment for Elderly Acute Myeloid Leukemia Patients Based on Peripheral Blast Clearance Rate: A Phase II Single-Arm Study,"Acute Myeloid Leukemias: Commercially Available Therapies, Excluding Transplantation and Cellular Immunotherapies: Poster I",Elderly Acute Myeloid Leukemia,True,Elderly Acute Myeloid Leukemia,,4,30,2,0.4,False,False,,,No comparison
311504,Recovery of Renal Function Among ANCA-Associated Vasculitis Patients with Baseline eGFR <=20 in the Avacopan ADVOCATE Trial,Abstracts: Vasculitis - ANCA-Associated,ANCA-Associated Vasculitis,True,ANCA-Associated Vasculitis,,2,26,0,0.1,True,False,,,No comparison
229586,Microbiota drive concomitant expression of IL-17 and the inhibitory receptor PD-1 to regulate effector functions of gd17 cells in the intestine,Neonatal and Fetal Mucosal Immunity,,True,No indication found,,3,19,0,0.15,False,False,,,No comparison
180437,Preliminary Results By Age Group of Treatment with CPX-351 Plus Venetoclax in Adults with Newly Diagnosed AML: Subgroup Analysis of the V-FAST Phase 1b Master Trial,"Acute Myeloid Leukemias: Commercially Available Therapies, Excluding Transplantation and Cellular Immunotherapies: Poster I",Adult Newly Diagnosed Acute Myeloid Leukemia,True,Adult Newly Diagnosed Acute Myeloid Leukemia,,6,44,3,0.6,False,False,,,No comparison
377049,"Therapeutic Potential And Strategies Of Pim447, A Pan-Pim Inhibitor, Targeting Refractory Myeloid Leukemia With Kit-Driven T(8/21)",Acute myeloid leukemia - Biology & Translational Research,Refractory Myeloid Leukemia,True,KIT-Driven t(8;21) Refractory Myeloid Leukemia,,5,46,2,0.45,True,True,,,No comparison
180442,"Aspacytarabine (BST-236) As Monotherapy Is Safe, Well-Tolerated and Effective for the Treatment of Adults with Newly Diagnosed Acute Myeloid Leukemia Unfit for Intensive Therapy. Results of a Phase 2 Study","Acute Myeloid Leukemias: Investigational Therapies, Excluding Transplantation and Cellular Immunotherapies: Poster I",Adult Newly Diagnosed Acute Myeloid Leukemia,True,Adult Newly Diagnosed Acute Myeloid Leukemia Unfit for Intensive Therapy,,10,72,4,0.9,False,False,,,No comparison
295132,"Neo-adjuvant therapy in luminal breast cancer: Who to treat, which regimen, and what duration?","The three ""Ws"" of early breast cancer management",Luminal Breast Cancer,True,Luminal Breast Cancer,,3,21,1,0.25,False,False,,,No comparison
147677,Validation And Clinical Application Of An Unsupervised Analysis Approach To Measurable Residual Disease Testing In Acute Myeloid Leukemia,Acute Myeloid Leukemia - Clinical,Acute Myeloid Leukemia,True,Acute Myeloid Leukemia,,3,22,2,0.35,False,False,,,No comparison
180445,Updated Survival and Response Analyses from a Phase 1 Study of Ivosidenib or Enasidenib Combined with Induction and Consolidation Chemotherapy in Patients with Newly Diagnosed AML with an IDH1 or IDH2 Mutation,"Acute Myeloid Leukemias: Investigational Therapies, Excluding Transplantation and Cellular Immunotherapies: Poster I",IDH1-Mutated IDH2-Mutated Newly Diagnosed Acute Myeloid Leukemia,True,Newly Diagnosed IDH1-Mutated Acute Myeloid Leukemia;;Newly Diagnosed IDH2-Mutated Acute Myeloid Leukemia,,11,104,3,0.8500000000000001,False,False,,,No comparison
327904,BCL6 Rearranged Indolent B-Cell Lymphomas Show Mutational Profile Similar to Marginal Zone Lymphomas,Lymphomas: Translational-Molecular and Genetic: Poster II,BCL6-Rearranged Indolent B-Cell Lymphoma;;Marginal Zone Lymphoma,True,BCL6-Rearranged Indolent B-Cell Lymphoma;;Marginal Zone Lymphoma,,6,64,1,0.4,False,False,,,No comparison
409825,Advocacy and Policy: What Can Nephrologists and National Organizations Do?,Winning Team: The Nephrology Workforce for the 21st Century,,True,Kidney Disease,,2,14,1,0.2,False,False,,,No comparison
147689,Induced Systemic T-Cell Specific Responses To Multiple Tumor-Associated Antigens After Allogenic Leukemia-Derived Dendritic Cell Vaccine Dcp-001 In Aml Patients With Persistent Mrd,Acute Myeloid Leukemia - Clinical,Acute Myeloid Leukemia,True,Persistent MRD Acute Myeloid Leukemia,,5,37,2,0.45,True,False,,,No comparison
180465,Integrated Transcriptomics and Proteomics Identifies Therapeutic Targets in Pediatric Acute Myeloid Leukemia,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster I",Pediatric Acute Myeloid Leukemia,True,Pediatric Acute Myeloid Leukemia,,4,32,2,0.4,False,False,,,No comparison
409842,Do All Collagen Variants Cause Glomerular Disease?,Collagen IV Conundrums: Genetic Variants and Clinical Management,,True,Collagen Variant Glomerular Disease,,4,35,1,0.30000000000000004,False,False,,,No comparison
164086,Randomized control trial of ultrasonic propulsion to facilitate clearance of chronic residual fragments,LBA01: Late-breaking Abstract I - Benign,,True,Chronic Residual Fragment,,3,25,1,0.25,False,False,,,No comparison
327929,Genome-Wide Methylation and Haplotype-Resolved Aberrant Somatic Hypermutation Patterns in B-Cell Lymphomas,Lymphomas: Translational-Molecular and Genetic: Poster III,B-Cell Lymphoma,True,B-Cell Lymphoma,,2,15,1,0.2,False,False,,,No comparison
180473,Evolution of Genomic Landscape in Acute Myeloid Leukemia after Decitabine and Venetoclax,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster I",Acute Myeloid Leukemia,True,Acute Myeloid Leukemia,,3,22,2,0.35,False,False,,,No comparison
180478,Duplex-Sequencing Uncovers Low-Frequency Mutations in KMT2A-Rearranged Infant Acute Lymphoblastic Leukemia,"Acute Lymphoblastic Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster I",KMT2A-Rearranged Infant Acute Lymphoblastic Leukemia,True,Infant KMT2A-Rearranged Acute Lymphoblastic Leukemia,,5,52,2,0.45,False,False,,,No comparison
213248,"BPH Guidelines: Conflict and Contrast in the AUA, EAU, NICE BPH Guidelines",Society of Benign Prostate Disease,Benign Prostatic Hyperplasia,True,Benign Prostatic Hyperplasia,,3,28,0,0.15,False,False,,,No comparison
377088,Clinical Characteristics Of Patients With Prolonged Viral Shedding Of Omicron Variant In Haematological Disease,Infections in hematology (incl. supportive care/therapy),Haematological Disease,True,VIRTUAL_ASSISTANT_API_CALL-get_indication_rules{category:<ctrl46>Patient with two different Disease<ctrl46>},,5,108,1,0.35,False,False,,,No comparison
295167,Circulating tumour DNA for monitoring of response to neoadjuvant chemotherapy in patients with high grade serous ovarian carcinoma,Thermo Fisher Scientific - Connecting patients everywhere to precision oncology,High Grade Serous Ovarian Carcinoma,True,High Grade Serous Ovarian Carcinoma,,5,35,2,0.45,False,False,,,No comparison
