abstract_id,abstract_title,session_title,ground_truth,approach_2_success,approach_2_indication,approach_2_confidence,approach_2_word_count,approach_2_length,approach_2_clinical_terms,approach_2_complexity,approach_2_has_abbreviations,approach_2_has_parentheses,approach_2_error,inter_model_avg_similarity,inter_model_consensus,approach_2_indication_response
327741,Intensive Therapy for NPM1 Mutant AML Patients: Negative Impact of FLT3-ITDhighbut Not FLT3-ITDlow and FLT3-TKD and Role of Transplant in Patients over 60 Years of Age,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster II",NPM1-Mutant Acute Myeloid Leukemia,True,NPM1-Mutated Acute Myeloid Leukemia;;FLT3-ITD-High Acute Myeloid Leukemia;;FLT3-ITD-Low Acute Myeloid Leukemia;;Elderly Acute Myeloid Leukemia,0.95,13,142,2,0.85,True,False,,,No comparison,NPM1-Mutated Acute Myeloid Leukemia;;FLT3-ITD-High Acute Myeloid Leukemia;;FLT3-ITD-Low Acute Myeloid Leukemia;;Elderly Acute Myeloid Leukemia
180285,Predictors of Efficacy in Chinese Patients with Severe Aplastic Anemia Treated with Eltrombopag and Intensive Immunosupressive Therapy,Bone Marrow Failure: Poster I,Severe Aplastic Anemia,True,Severe Aplastic Anemia,0.95,3,22,1,0.25,False,False,,,No comparison,Severe Aplastic Anemia
294973,Changing GEC Patient Care with IO plus Chemotherapy in First-Line,MSD - Navigating through the rapidly evolving treatment landscape for GI Cancers - A Clinical & Patient Centric Approach towards implementing Immunotherapy,First-Line Gastrointestinal Cancer,True,First-Line Gastroesophageal Cancer,0.95,3,34,1,0.25,False,False,,,No comparison,First-Line Gastroesophageal Cancer
262206,Bosutinib Dose Optimization In The Second-Line Treatment Of Elderly Cml Patients: Extended 3-Year Follow-Up And Final Results Of The Best Study,Chronic myeloid leukemia - Clinical,Second-Line Elderly Chronic Myeloid Leukemia,True,Elderly Second-Line Chronic Myeloid Leukemia,0.95,5,44,2,0.45,False,False,,,No comparison,Elderly Second-Line Chronic Myeloid Leukemia
147521,Thrombophilia As Risk Factor For Asparaginase Related Venous Thromboembolism In Pediatric And Young Adult Patients Affected By Acute Lymphoblastic Leukemia,Thrombosis And Vascular Biology - Biology & Translational Research,Pediatric Young Adult Venous Thromboembolism,True,Thrombophilia;;Asparaginase-Related Venous Thromboembolism;;Pediatric Acute Lymphoblastic Leukemia;;Young Adult Acute Lymphoblastic Leukemia,0.95,10,140,2,0.7,False,False,,,No comparison,Thrombophilia;;Asparaginase-Related Venous Thromboembolism;;Pediatric Acute Lymphoblastic Leukemia;;Young Adult Acute Lymphoblastic Leukemia
393283,"A Phase I Study Of Safety, Pharmacokinetics, And Pharmacodynamics Of Scr-6920, A Protein Arginine Methyltransferase 5(Prmt5) Inhibitor, In Patients With Advanced Malignant Tumors",Developmental Therapeutics,Advanced Malignant Tumor,True,Advanced Malignant Tumor,0.95,3,24,2,0.35,False,False,,,No comparison,Advanced Malignant Tumor
262209,Real-Life Outcomes Of Ponatinib Treatment In Patients With Chronic Myeloid Leukemia (Cml) Or Philadelphia Chromosome-Positive Acute Lymphoblastic Leukemia (Ph+All): 5-Year-Data From A Belgian Registry,Chronic myeloid leukemia - Clinical,Chronic Myeloid Leukemia;;Ph Chromosome-Positive Acute Lymphoblastic Leukemia,True,Chronic Myeloid Leukemia;;Ph Chromosome-Positive Acute Lymphoblastic Leukemia,0.95,7,77,4,0.75,False,False,,,No comparison,Chronic Myeloid Leukemia;;Ph Chromosome-Positive Acute Lymphoblastic Leukemia
180298,"Pozelimab, a Human Monoclonal Antibody Against Complement Factor C5, Provided Inhibition of Intravascular Hemolysis in Patients with Paroxysmal Nocturnal Hemoglobinuria",Bone Marrow Failure: Poster I,Paroxysmal Nocturnal Hemoglobinuria,True,Paroxysmal Nocturnal Hemoglobinuria,0.95,3,35,0,0.15,False,False,,,No comparison,Paroxysmal Nocturnal Hemoglobinuria
393291,"Preclinical Evaluation Of Hlx42, A Novel Egfr-Targeting Adc, For Cetuximab Or Tki Resistant Cancer",Developmental Therapeutics,Cancer,True,Cancer,0.95,1,6,1,0.15,False,False,,,No comparison,Cancer
180300,Clinical Presentation of Patients with Adult Late-Onset Telomere Biology Disorders - Results from the Aachen Telomeropathy Registry,Bone Marrow Failure: Poster I,Adult Late-Onset Telomere Biology Disorder,True,Adult Late Onset Telomere Biology Disorder;;Telomeropathy;;Bone Marrow Failure,0.95,8,78,1,0.5,False,False,,,No comparison,Adult Late Onset Telomere Biology Disorder;;Telomeropathy;;Bone Marrow Failure
327760,Clinical and Molecular Characterization of Newly Diagnosed IDH/TP53 Co-Mutated AML and Impact of Genomically Sensitive Treatment Strategies,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster II",Newly Diagnosed IDH-Mutated TP53-Mutated Acute Myeloid Leukemia,True,Newly Diagnosed IDH/TP53-Mutated Acute Myeloid Leukemia,0.95,6,55,3,0.6,True,False,,,No comparison,Newly Diagnosed IDH/TP53-Mutated Acute Myeloid Leukemia
311376,Sputum RA-Associated Autoantibodies Independently Associate with Future Development of Classified RA in an At-Risk Cohort of Individuals with Systemic Anti-CCP Positivity,"Abstracts: RA - Diagnosis, Manifestations, and Outcomes I: Pre- and Early Disease",Rheumatoid Arthritis,True,Anti-CCP-Positive Rheumatoid Arthritis,0.95,3,38,1,0.25,True,False,,,No comparison,Anti-CCP-Positive Rheumatoid Arthritis
229467,"The novel adjuvant, ADA-1, restores age-associated defects in the adaptive immune response to Clostridioides difficile infection and vaccination in an aging mouse model",Vaccines and Immunity against Bacteria and Parasites,Clostridioides Difficile Infection,True,Clostridioides Difficile Infection,0.95,3,34,0,0.15,False,False,,,No comparison,Clostridioides Difficile Infection
327778,The LSC17 Score Correlates with the ELN 2022 Classification of AML and Is an Independent Predictor of Detectable Measurable Residual Disease after Induction Chemotherapy,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster III",Acute Myeloid Leukemia,True,Acute Myeloid Leukemia;;MRD-Positive Acute Myeloid Leukemia,0.95,6,59,3,0.6,True,False,,,No comparison,Acute Myeloid Leukemia;;MRD-Positive Acute Myeloid Leukemia
147554,Antibodies To Pegylated E. Coli Asparaginase Predict The Occurrence Of Hypersensitivity Reactions In High-Risk Patients Undergoing The Consolidation Phase Of The Aieop-Bfm All 2009 Protocol.,Acute Lymphoblastic Leukemia - Clinical,High-Risk Acute Lymphoblastic Leukemia,True,High-Risk Acute Lymphoblastic Leukemia;;Hypersensitivity Reaction,0.95,5,65,2,0.45,False,False,,,No comparison,High-Risk Acute Lymphoblastic Leukemia;;Hypersensitivity Reaction
327789,"Multiomic Single-Cell Sequencing of Mixed Phenotypic Acute Leukemia (MPAL) Reveals Complex Immunophenotypic, Transcriptional, and Genetic Heterogeneity","Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster III",Mixed Phenotypic Acute Leukemia,True,Mixed Phenotypic Acute Leukemia,0.95,4,31,2,0.4,False,False,,,No comparison,Mixed Phenotypic Acute Leukemia
213104,What Clinical Innovations and Other Interventions Are Needed?,Quality Improvement Summit: Laying the Foundation for Primary Palliative Care in Urology,,True,,1.0,0,0,0,0.0,False,False,,,No comparison,
393329,A Phase 1 Study Of Bal0891 As Monotherapy And In Combination With Chemotherapy In Patients With Advanced Solid Tumors.,Developmental Therapeutics,Advanced Solid Tumor,True,Advanced Solid Tumor,0.95,3,20,2,0.35,False,False,,,No comparison,Advanced Solid Tumor
376946,Automated Metrics From The Electronic Health Record Enable Evaluation Of Palliative Care In Patients With Acute Myeloid Leukaemia: A Data Science Approach,Quality of life and palliative care,Acute Myeloid Leukemia,True,Acute Myeloid Leukaemia,0.95,3,23,1,0.25,False,False,,,No comparison,Acute Myeloid Leukaemia
262259,Multiplex Deletion Of Myeloid Antigens Cd33 And Cll-1 By Crispr/Cas9 In Human Hematopoietic Stem Cells Highlights The Potential Of Next-Generation Transplants For Aml Treatment.,"Gene therapy, cellular immunotherapy and vaccination - Biology & Translational Research",Acute Myeloid Leukemia,True,Acute Myeloid Leukemia,0.95,3,22,2,0.35,False,False,,,No comparison,Acute Myeloid Leukemia
229493,Pan-coronavirus neutralizing S2 human monoclonal antibodies and utility of direct respiratory administration as combination therapy with S1 antibodies against SARS-CoV-2,Vaccination and immunotherapy against COVID-19,SARS-CoV-2 Infection,True,COVID-19,0.95,1,8,0,0.05,True,False,,,No comparison,COVID-19
393337,Efficacy And Safety Of High-Dose Chemotherapy As Second Or Subsequent Salvage Therapy In Relapsed Or Refractory Germ Cell Cancer Patients: A Multicentric Analysis,Germ Cell (Testicular) Cancer And Penile Cancer,Relapsed or Refractory Germ Cell Cancer,True,Relapsed/Refractory Germ Cell Cancer,0.95,4,36,3,0.5,False,False,,,No comparison,Relapsed/Refractory Germ Cell Cancer
376961,Lifetime Clinical Outcomes Of Cpx-351 Versus 7+3 Modeled From The 5-Year Results Of A Randomized Phase 3 Trial For Older Adults With Newly Diagnosed High-Risk Or Secondary Acute Myeloid Leukaemia,Acute myeloid leukemia - Clinical,Elderly Newly Diagnosed High-Risk Secondary Acute Myeloid Leukaemia,True,Elderly Newly Diagnosed High-Risk Acute Myeloid Leukaemia;;Elderly Newly Diagnosed Secondary Acute Myeloid Leukaemia,0.95,13,116,2,0.85,False,False,,,No comparison,Elderly Newly Diagnosed High-Risk Acute Myeloid Leukaemia;;Elderly Newly Diagnosed Secondary Acute Myeloid Leukaemia
295042,Invited Discussant 1312O and 1313O,Proffered Paper session: Policy and preventive strategies,,True,,0.99,0,0,0,0.0,False,False,,,No comparison,
229509,Osteoclast differentiation alters monocyte inflammatory responses to Staphylococcus aureus,Cells of the Innate Immune System,Staphylococcus Aureus Infection,True,,0.99,0,0,0,0.0,False,False,,,No comparison,
180358,Targeting Metabolic Vulnerabilities in Primary Effusion Lymphoma Using the Novel Nucleoside Analog 6-Eti,Molecular Pharmacology and Drug Resistance: Lymphoid Neoplasms: Poster I,Primary Effusion Lymphoma,True,Primary Effusion Lymphoma,0.95,3,25,1,0.25,False,False,,,No comparison,Primary Effusion Lymphoma
327817,Connecting Genetic Heterogeneity with Single-Cell Transcriptome Dysregulations in Pediatric Acute Myeloid Leukemia,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster I",Pediatric Acute Myeloid Leukemia,True,Pediatric Acute Myeloid Leukemia,0.95,4,32,2,0.4,False,False,,,No comparison,Pediatric Acute Myeloid Leukemia
311433,Overall and Post-vaccination Prevalence of Severe COVID-19-related Events Among Commercially Insured Patients with Systemic Lupus Erythematosus and the General U.S. Population,"Abstracts: SLE - Diagnosis, Manifestations, and Outcomes II: Complications",Systemic Lupus Erythematosus,True,Severe COVID-19;;Systemic Lupus Erythematosus,0.95,4,45,1,0.3,True,False,,,No comparison,Severe COVID-19;;Systemic Lupus Erythematosus
327823,Quantitative Impact of Mutated NPM1 MRD in Patients with AML Undergoing Allogeneic Stem Cell Transplantation,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster I",NPM1-Mutated Acute Myeloid Leukemia,True,NPM1-Mutated Acute Myeloid Leukemia,0.95,4,35,2,0.4,False,False,,,No comparison,NPM1-Mutated Acute Myeloid Leukemia
311447,CAR T Cell Treatment of Refractory Systemic Lupus Erythematosus,Abstracts: SLE - Treatment,Refractory Systemic Lupus Erythematosus,True,Refractory Systemic Lupus Erythematosus,0.95,4,39,1,0.3,False,False,,,No comparison,Refractory Systemic Lupus Erythematosus
311449,Hydroxychloroquine Dosing Less Than 5 Mg/kg/day Leads to Increased Hospitalizations for Systemic Lupus Erythematosus Flares,Abstracts: SLE - Treatment,Systemic Lupus Erythematosus,True,Systemic Lupus Erythematosus Flare,0.95,4,34,0,0.2,False,False,,,No comparison,Systemic Lupus Erythematosus Flare
409754,Audience Q&A,Regulating the Regulator: Exploring the Therapeutic Landscape for Complement-Mediated Kidney Diseases,,True,Complement-Mediated Kidney Disease,0.95,3,34,1,0.25,False,False,,,No comparison,Complement-Mediated Kidney Disease
393371,Ccne1 Amplification Defines A Good Prognostic Subgroup Among Brcawt/Hrdneg Advanced High-Grade Ovarian Cancer (Hgoc),Gynaecological Cancers,Advanced High-Grade Ovarian Cancer,True,Advanced High-Grade BRCA Wild Type/HRD-Negative Ovarian Cancer,0.95,7,62,4,0.75,True,False,,,No comparison,Advanced High-Grade BRCA Wild Type/HRD-Negative Ovarian Cancer
262300,Monoallelic And Biallelic Germline Mutations Affecting The Transcription Factor Helios Cause Pleiotropic Defects Of Immunity,"Hematopoiesis, stem cells and microenvironment",,True,Helios-Mutated Germline Pleiotropic Defect of Immunity,0.95,6,54,0,0.3,False,False,,,No comparison,Helios-Mutated Germline Pleiotropic Defect of Immunity
393379,Correlation Between Chemotherapy Response Score (Crs) And Germline Brca1/2 (Gbrca) Status In Women Diagnosed With Figo Stage Iiic/Iv High-Grade Serous Ovarian Cancer (Hgsoc),Gynaecological Cancers,Stage IIIc/IV High-Grade Serous Ovarian Cancer,True,Stage IIIC High Grade Serous Ovarian Cancer;;Stage IV High Grade Serous Ovarian Cancer,0.95,13,86,3,0.95,True,False,,,No comparison,Stage IIIC High Grade Serous Ovarian Cancer;;Stage IV High Grade Serous Ovarian Cancer
213157,Society for the Study of Male Reproduction (SSMR),Society for the Study of Male Reproduction (SSMR),,True,,0.99,0,0,0,0.0,False,False,,,No comparison,
393382,The Predictive Role Of Circulating Exosomal Pd-L1 In Cervical Cancer Immunotherapy,Gynaecological Cancers,Cervical Cancer,True,Cervical Cancer,0.95,2,15,1,0.2,False,False,,,No comparison,Cervical Cancer
344232,Chair Introduction,Intercepting Molecular Residual Disease in the Clinic,,True,,0.95,0,0,0,0.0,False,False,,,No comparison,
180389,Safety and Efficacy of Isavuconazole in Patients Aged 65 Years or Older with Invasive Fungal Disease: A Post-Hoc Analysis from the VITAL and Secure Studies,Acute Myeloid Leukemias: Clinical and Epidemiological: Poster I,Elderly Invasive Fungal Disease,True,Elderly Invasive Fungal Disease,0.95,4,31,1,0.3,False,False,,,No comparison,Elderly Invasive Fungal Disease
180390,Clinical Characteristics Associated with Venous Thromboembolism in Patients with Non-APL Acute Myeloid Leukemia,Acute Myeloid Leukemias: Clinical and Epidemiological: Poster I,Venous Thromboembolism;;Acute Myeloid Leukemia,True,Venous Thromboembolism;;Non-APL Acute Myeloid Leukemia,0.95,5,54,2,0.45,True,False,,,No comparison,Venous Thromboembolism;;Non-APL Acute Myeloid Leukemia
262320,"Brentuximab Vedotin, Etoposide, Solumedrol, High Dose Ara-C & Platinum Followed By Hdt & Apbsct For Refractory/Relapsed Hodgkin Lymphoma Patients: Long-Term Results Of The Geltamo Group Breshap Study",Hodgkin lymphoma - Clinical,Refractory/Relapsed Hodgkin Lymphoma,True,Refractory/Relapsed Hodgkin Lymphoma,0.95,3,36,3,0.45,False,False,,,No comparison,Refractory/Relapsed Hodgkin Lymphoma
180403,Updated Results from a Phase II Study of Hyper-CVAD with Sequential Blinatumomab in Adults with Newly Diagnosed Philadelphia Chromosome-Negative B-Cell Acute Lymphoblastic Leukemia,"Acute Lymphoblastic Leukemias: Therapies, Excluding Transplantation and Cellular Immunotherapies: Poster I",Adult Newly Diagnosed Ph-Negative B-Cell Acute Lymphoblastic Leukemia,True,Adult Newly Diagnosed Ph Chromosome-Negative B-Cell Acute Lymphoblastic Leukemia,0.95,9,80,4,0.85,False,False,,,No comparison,Adult Newly Diagnosed Ph Chromosome-Negative B-Cell Acute Lymphoblastic Leukemia
327859,Robust Validation of the UKALL High Hyperdiploid Risk Profile Using Individual Patient Data Collected By the Harmony Alliance,"Acute Lymphoblastic Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster II",Acute Lymphoblastic Leukemia,True,High Hyperdiploid Acute Lymphoblastic Leukemia,0.95,5,46,2,0.45,False,False,,,No comparison,High Hyperdiploid Acute Lymphoblastic Leukemia
393400,Tumor-Informed Ctdna Detection As A Predictive Marker For Postoperative Residual Disease In Epithelial Ovarian Cancer: A Feasibility Study,Gynaecological Cancers,Epithelial Ovarian Cancer,True,Residual Epithelial Ovarian Cancer,0.95,4,34,1,0.3,False,False,,,No comparison,Residual Epithelial Ovarian Cancer
327865,Clinical Significance of IGH Clonality Analysis with RNA Sequencing in B-Cell Precursor Acute Lymphoblastic Leukemia,"Acute Lymphoblastic Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster III",B-Cell Precursor Acute Lymphoblastic Leukemia,True,B-Cell Precursor Acute Lymphoblastic Leukemia,0.95,5,45,2,0.45,False,False,,,No comparison,B-Cell Precursor Acute Lymphoblastic Leukemia
327866,The Rise and Fall of Leukemia Clones in Longitudinal Samples from Diagnosis to Relapse in KMT2A-rearranged Infant and Childhood Leukemia,"Acute Lymphoblastic Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster III",Relapsed KMT2A-Rearranged Infant Childhood Leukemia,True,KMT2A-Rearranged Infant Leukemia;;KMT2A-Rearranged Childhood Leukemia,0.95,5,69,1,0.35,False,False,,,No comparison,KMT2A-Rearranged Infant Leukemia;;KMT2A-Rearranged Childhood Leukemia
262328,"Pirtobrutinib, A Highly Selective, Non-Covalent (Reversible) Btk Inhibitor In Previously Treated Mantle Cell Lymphoma: Updated Results From The Phase 1/2 Bruin Study",Indolent and mantle-cell non-Hodgkin lymphoma - Clinical,Previously Treated Mantle Cell Lymphoma,True,Previously Treated Mantle Cell Lymphoma,0.95,5,39,2,0.45,False,False,,,No comparison,Previously Treated Mantle Cell Lymphoma
393407,Mental And Socioeconomic Burden In Co-Parents And Children Of Patients With Endometrial And Cervical Cancer: A Swedish Population-Based Study,Gynaecological Cancers,Childhood Endometrial Cancer;;Childhood Cervical Cancer,True,Endometrial Cancer;;Cervical Cancer,0.95,3,35,1,0.25,False,False,,,No comparison,Endometrial Cancer;;Cervical Cancer
147649,Phase 1 First-In-Human Study Of Irreversible Flt3 Inhibitor Ff-10101-01 In Relapsed Or Refractory Acute Myeloid Leukemia,Acute Myeloid Leukemia - Clinical,Relapsed/Refractory Acute Myeloid Leukemia,True,Relapsed/Refractory Acute Myeloid Leukemia,0.95,4,42,4,0.6,False,False,,,No comparison,Relapsed/Refractory Acute Myeloid Leukemia
327877,The Influence of Genetic Ancestry on Disease Biology in Pediatric T-Cell Acute Lymphoblastic Leukemia,"Acute Lymphoblastic Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster I",Pediatric T-Cell Acute Lymphoblastic Leukemia,True,Pediatric T-Cell Acute Lymphoblastic Leukemia,0.95,5,45,2,0.45,False,False,,,No comparison,Pediatric T-Cell Acute Lymphoblastic Leukemia
311500,"A Randomized, Double-Blind, Phase II Study of Glucocorticoid Replacement by Vilobelimab, an Anti-C5a Monoclonal Antibody, in ANCA-Associated Vasculitis",Abstracts: Vasculitis - ANCA-Associated,ANCA-Associated Vasculitis,True,ANCA-Associated Vasculitis,0.95,2,26,0,0.1,True,False,,,No comparison,ANCA-Associated Vasculitis
180429,Modified Intensive Induction Treatment for Elderly Acute Myeloid Leukemia Patients Based on Peripheral Blast Clearance Rate: A Phase II Single-Arm Study,"Acute Myeloid Leukemias: Commercially Available Therapies, Excluding Transplantation and Cellular Immunotherapies: Poster I",Elderly Acute Myeloid Leukemia,True,Elderly Acute Myeloid Leukemia,0.95,4,30,2,0.4,False,False,,,No comparison,Elderly Acute Myeloid Leukemia
311504,Recovery of Renal Function Among ANCA-Associated Vasculitis Patients with Baseline eGFR <=20 in the Avacopan ADVOCATE Trial,Abstracts: Vasculitis - ANCA-Associated,ANCA-Associated Vasculitis,True,ANCA-Associated Vasculitis,0.95,2,26,0,0.1,True,False,,,No comparison,ANCA-Associated Vasculitis
229586,Microbiota drive concomitant expression of IL-17 and the inhibitory receptor PD-1 to regulate effector functions of gd17 cells in the intestine,Neonatal and Fetal Mucosal Immunity,,True,,0.95,0,0,0,0.0,False,False,,,No comparison,
180437,Preliminary Results By Age Group of Treatment with CPX-351 Plus Venetoclax in Adults with Newly Diagnosed AML: Subgroup Analysis of the V-FAST Phase 1b Master Trial,"Acute Myeloid Leukemias: Commercially Available Therapies, Excluding Transplantation and Cellular Immunotherapies: Poster I",Adult Newly Diagnosed Acute Myeloid Leukemia,True,Adult Newly Diagnosed Acute Myeloid Leukemia,0.95,6,44,3,0.6,False,False,,,No comparison,Adult Newly Diagnosed Acute Myeloid Leukemia
377049,"Therapeutic Potential And Strategies Of Pim447, A Pan-Pim Inhibitor, Targeting Refractory Myeloid Leukemia With Kit-Driven T(8/21)",Acute myeloid leukemia - Biology & Translational Research,Refractory Myeloid Leukemia,True,Kit-Driven Refractory Myeloid Leukemia;;Refractory Kit-Driven Myeloid Leukemia,0.95,7,78,2,0.55,False,False,,,No comparison,Kit-Driven Refractory Myeloid Leukemia;;Refractory Kit-Driven Myeloid Leukemia
180442,"Aspacytarabine (BST-236) As Monotherapy Is Safe, Well-Tolerated and Effective for the Treatment of Adults with Newly Diagnosed Acute Myeloid Leukemia Unfit for Intensive Therapy. Results of a Phase 2 Study","Acute Myeloid Leukemias: Investigational Therapies, Excluding Transplantation and Cellular Immunotherapies: Poster I",Adult Newly Diagnosed Acute Myeloid Leukemia,True,Adult Newly Diagnosed Acute Myeloid Leukemia,0.95,6,44,3,0.6,False,False,,,No comparison,Adult Newly Diagnosed Acute Myeloid Leukemia
295132,"Neo-adjuvant therapy in luminal breast cancer: Who to treat, which regimen, and what duration?","The three ""Ws"" of early breast cancer management",Luminal Breast Cancer,True,Luminal Breast Cancer;;Early Stage Breast Cancer,0.95,6,48,3,0.6,False,False,,,No comparison,Luminal Breast Cancer;;Early Stage Breast Cancer
147677,Validation And Clinical Application Of An Unsupervised Analysis Approach To Measurable Residual Disease Testing In Acute Myeloid Leukemia,Acute Myeloid Leukemia - Clinical,Acute Myeloid Leukemia,True,Acute Myeloid Leukemia,0.95,3,22,2,0.35,False,False,,,No comparison,Acute Myeloid Leukemia
