abstract_id,session_title,abstract_title
719296,Trials in Progress Poster Session A: Prostate Cancer,"IDeate-Prostate01: A phase 3, randomized, open-label study of ifinatamab deruxtecan versus docetaxel in participants with previously treated metastatic castration-resistant prostate cancer."
719297,Trials in Progress Poster Session A: Prostate Cancer,TulmiSTAR-01: A phase I/II dose optimization study of tulmimetostat in combination with luxdegalutamide versus standard of care (SOC) in patients (pts) with progressive metastatic castrate-resistant prostate cancer (mCRPC).
719298,Trials in Progress Poster Session A: Prostate Cancer,Hypervigilance: A phase Ib clinical trial to optimize risk-benefit of nezastomig (PSMAxCD28 costimulatory bispecific antibody) plus cemiplimab (anti-PD-1) in patients with metastatic castration-resistant prostate cancer (mCRPC).
719299,Trials in Progress Poster Session A: Prostate Cancer,"IDeate-Prostate02: A phase 1/2, open-label umbrella substudy of ifinatamab deruxtecan-based treatment combinations or as monotherapy in participants with previously treated metastatic castration-resistant prostate cancer."
719300,Trials in Progress Poster Session A: Prostate Cancer,"TulmiSTAR-02: A phase I/II open-label study of dose escalation and expansion of tulmimetostat in combination with darolutamide versus darolutamide, and tulmimetostat with abiraterone in patients with metastatic hormone-sensitive prostate cancer (mHSPC)."
719301,Trials in Progress Poster Session A: Prostate Cancer,A phase I clinical trial of autologous gamma delta T cells genetically engineered with a chimeric receptor to target the prostate stem cell antigen in patients with metastatic castration-resistant prostate cancer.
719302,Trials in Progress Poster Session A: Prostate Cancer,OMAHA-004: Phase 3 trial of CYP11A1 inhibitor opevesostat versus androgen receptor pathway inhibitor (ARPI) switch in participants with metastatic castration-resistant prostate cancer (mCRPC) after a prior ARPI.
719303,Trials in Progress Poster Session A: Prostate Cancer,"Phase 2 study of ASP5541 (PRL-02), a long-acting intramuscular depot injection of abiraterone decanoate, in patients with advanced prostate cancer."
719304,Trials in Progress Poster Session A: Prostate Cancer,OMAHA-003: Phase 3 trial of CYP11A1 inhibitor opevesostat versus androgen receptor pathway inhibitor (ARPI) switch in participants (pts) with metastatic castration-resistant prostate cancer (mCRPC) after ARPI and taxane-based chemotherapy.
719305,Trials in Progress Poster Session A: Prostate Cancer,Radiation dose tailoring guided by enhanced targeting (RadTARGET): A multi-center randomized controlled trial.
719306,Trials in Progress Poster Session A: Prostate Cancer,"A phase 1/2, open-label, randomized, dose-finding and dose expansion study of gedatolisib in combination with darolutamide in metastatic castration-resistant prostate cancer (mCRPC)."
719307,Trials in Progress Poster Session A: Prostate Cancer,Bladder full or empty for pelvic radiation therapy (BEFORE): A multi-center randomized controlled trial.
719308,Trials in Progress Poster Session A: Prostate Cancer,"Phase III, randomized, double-blind, placebo-controlled study of adjuvant saruparib (AZD5305) in patients with BRCAm localized high-risk prostate cancer who are receiving radiotherapy and androgen deprivation therapy (EvoPAR-Prostate02)."
719309,Trials in Progress Poster Session A: Prostate Cancer,CARPET trial: A phase II trial evaluating trastuzumab deruxtecan in metastatic castration-resistant prostate cancer.
719310,Trials in Progress Poster Session A: Prostate Cancer,A dyadic exercise approach to prevent declines in physical and mental health in couples during radiation treatment for cancer: Protocol for a hybrid type I efficacy implementation trial.
719311,Trials in Progress Poster Session A: Prostate Cancer,Phase 3 study of 68Ga-PSMA-11 PET combined with MRI for the detection of prostate cancer (BIPASS).
719312,Trials in Progress Poster Session A: Prostate Cancer,Determining individual preferences for gynecomastia avoidance among men with prostate cancer: A qualitative study.
719313,Trials in Progress Poster Session A: Prostate Cancer,Ultra-hypofractionated radiotherapy and concomitant oral relugolix for treatment of intermediate risk prostate cancer (ULTRA-HERO).
719314,Poster Session A: Prostate Cancer,Treatment interruption guided by on-treatment prostate-specific membrane antigen (PSMA) PET/CT imaging in metastatic hormone-sensitive prostate cancer (mHSPC).
719315,Poster Session A: Prostate Cancer,PSMA PET versus conventional imaging in metastatic prostate cancer: Evaluation of disease volume classification in a veteran cohort.
719316,Trials in Progress Poster Session A: Prostate Cancer,Evaluation of the safety and efficacy of daily oral Angelica gigas Nakai (AGN)-INM176 in prostate cancer patients with rising plasma PSA (phase I/II trial).
719317,Trials in Progress Poster Session A: Prostate Cancer,High-risk localized prostate cancer treated with neoadjuvant LHRH agonist/antagonist and enzalutamide plus the glucocorticoid receptor antagonist relacorilant versus placebo.
719318,Poster Session A: Prostate Cancer,New prostate cancer risk groups by PSMA-PET (PPP3).
719319,Trials in Progress Poster Session A: Prostate Cancer,"A randomized trial of neoadjuvant leuprorelin, darolutamide, or both prior to radical prostatectomy for intermediate- or high-risk prostate cancer."
719320,Poster Session A: Prostate Cancer,Sequential flotufolastat-F18 PSMA-PET scans to enhance detection of prostate cancer in patients with early PSA recurrence following radical prostatectomy.
719321,Poster Session A: Prostate Cancer,Radiographic recurrence patterns for prostate cancer with pathologic lymph node involvement following PSMA-PET and radical prostatectomy.
719322,Poster Session A: Prostate Cancer,Evaluation of ancillary multiparametric MRI features in PI-RADS 3 prostate lesions and their association with prostate cancer.
719323,Poster Session A: Prostate Cancer,TP53 mutations (TP53mut) as a predictive biomarker for lutetium-177-PSMA (Lu-PSMA) vs. docetaxel benefit in post-androgen receptor pathway inhibitors (ARPI) metastatic castration-resistant prostate cancer (mCRPC).
719324,Poster Session A: Prostate Cancer,Prevalence of treatment-acquired homozygous losses (homozygous deletions) of PTEN from androgen receptor pathway inhibitors (ARPI) in metastatic prostate cancer.
719325,Poster Session A: Prostate Cancer,Diagnostic performance of 18F-flotufolastat PET/CT compared with conventional imaging in men with biochemical recurrence of prostate cancer: Descriptive post-hoc analysis from the phase 3 SPOTLIGHT study.
719326,Poster Session A: Prostate Cancer,Predicting cancer organ tropism in mCRPC patients using triple-tracer PET imaging radiomics clustering from the 3TMPO cohort study.
719327,Poster Session A: Prostate Cancer,An intra-patient contemporaneous comparison of 18F-piflufolastat and 18F-flotufolastat urinary radioactivity and local and pelvic region detection rates in men with low prostate-specific antigen biochemical recurrence of prostate cancer after radical prostatectomy.
719328,Poster Session A: Prostate Cancer,Short-course (3-month) enzalutamide monotherapy in biochemically recurrent prostate cancer (BCR): Preliminary prostate specific membrane antigen tumor volume (PSMA-TV) data.
719329,Poster Session A: Prostate Cancer,Prospective monitoring of biochemically recurrent prostate cancer (BCR) using prostate specific membrane antigen (PSMA) imaging: 21-month follow-up.
719330,Poster Session A: Prostate Cancer,Detection of bone metastases in men with low PSA biochemical recurrence of prostate cancer with 18F-flotufolastat PET/CT: A post-hoc analysis from the phase 3 SPOTLIGHT study.
719331,Poster Session A: Prostate Cancer,Association of prostate specific antigen (PSA) doubling time (DT) and prostate specific membrane antigen (PSMA) findings in biochemically recurrent prostate cancer (BCR).
719332,Poster Session A: Prostate Cancer,Association of radiomic skeletal muscle features on prostate T1-weighted MRI with major adverse cardiac events in prostate cancer patients.
719333,Poster Session A: Prostate Cancer,Risk factors and treatment outcomes in metastatic prostate cancer with brain metastases.
719334,Poster Session A: Prostate Cancer,Survival outcomes with lutetium-177-PSMA-617 in metastatic castration-resistant prostate cancer patient according to baseline tumor characteristics.
719335,Poster Session A: Prostate Cancer,A novel method of analysis that uses standard of care PSA values to help guide optimal treatment decisions in the management of metastatic prostate cancer.
719336,Poster Session A: Prostate Cancer,Comparative risk of medication-related osteonecrosis of the jaw and survival outcomes with RANKL inhibitors versus bisphosphonates in metastatic prostate cancer.
719337,Poster Session A: Prostate Cancer,Mortality risk with androgen receptor pathway inhibitors: Real-world evidence.
719338,Poster Session A: Prostate Cancer,Artificial intelligenceâ€“based detection of treatment-emergent metastatic neuroendocrine carcinoma of prostate.
719339,Poster Session A: Prostate Cancer,Predictive role of peripheral blood erythroblasts for treatment intensification in metastatic hormone-sensitive prostate cancer.
719340,Poster Session A: Prostate Cancer,Outcomes of radium-223 therapy in combination with enzalutamide for metastatic castration-resistant prostate cancer: A multicenter retrospective analysis in Japan.
719341,Poster Session A: Prostate Cancer,"Impact of age, number of cycles of chemotherapy and presence of visceral metastases on PSA response in patients on triplet therapy (ADT + darolutamide + docetaxel) for mHSPC: UK real world data from the RECOMMEND study."
719342,Poster Session A: Prostate Cancer,Real-world comparative effectiveness of novel doublet therapies for metastatic hormone-sensitive prostate cancer.
719343,Poster Session A: Prostate Cancer,Real-world outcomes of radium-223 in the FRONTIER study: Impact of prior up-front therapy in mCRPC.
719344,Poster Session A: Prostate Cancer,Treatment utilization among patients (pts) with metastatic hormone-sensitive prostate cancer (mHSPC) in real-world US settings: A prostate cancer disease observation (PRECISION) data platform analysis.
719345,Poster Session A: Prostate Cancer,Real-world utilization and timing of initiation of bone-targeting agents (BTAs) in patients with metastatic castration-resistant prostate cancer (mCRPC) treated with radium-223: Results from Princess Margaret Cancer Centre (PM).
719346,Poster Session A: Prostate Cancer,Clinical outcomes among patients with metastatic hormone-sensitive prostate cancer in contemporary real-world US clinical practice: A prostate cancer disease observation (PRECISION) data platform analysis.
719347,Poster Session A: Prostate Cancer,Treatment patterns and survival outcomes among lutetium 177â€“experienced patients with metastatic castration-resistant prostate cancer.
719348,Poster Session A: Prostate Cancer,[177Lu]Lu-PSMA-617 (177Lu-PSMA-617) in combination with an androgen receptor pathway inhibitor (ARPI) versus 177Lu-PSMA-617 alone for the treatment of metastatic castration-resistant prostate cancer (mCRPC): A real-world prostate cancer disease observation (PRECISION) data platform analysis.
719349,Poster Session A: Prostate Cancer,Real-world characteristics of long-term survivors with metastatic castration-resistant prostate cancer (mCRPC) treated with radium-223 (Ra-223): An analysis of the global REASSURE study.
719350,Poster Session A: Prostate Cancer,National trends and predictors of inpatient palliative care utilization in metastatic prostate cancer.
719351,Poster Session A: Prostate Cancer,Association of early achievement of ultra-low PSA levels with radiologic progression-free survival (rPFS) in metastatic hormone-sensitive prostate cancer (mHSPC).
719352,Poster Session A: Prostate Cancer,High comorbidity as a predictor of poorer survival and ARPI efficacy in metastatic prostate cancer.
719353,Poster Session A: Prostate Cancer,Trends in PSA and metastatic prostate cancer at presentation in the United States from 2004-2022.
719354,Poster Session A: Prostate Cancer,Real-world effectiveness of systemic therapies after [177Lu]Lu-PSMA-617 (177Lu-PSMA-617)Â treatment in patients with metastatic castration-resistant prostate cancer (mCRPC): A prostate cancer disease observation (PRECISION) data platform analysis.
719355,Poster Session A: Prostate Cancer,Efficacy of 177Lu-PSMA-617 in neuroendocrine prostate cancer.
719356,Poster Session A: Prostate Cancer,Androgen-receptor pathway inhibitors triplet therapy (ARAAT): Real-world outcomes in metastatic hormone-sensitive prostate cancer.
719357,Poster Session A: Prostate Cancer,Long-term outcomes with radium-223 in metastatic castration resistant prostate cancer: US patient subset of the 10-year REASSURE global study.
719358,Poster Session A: Prostate Cancer,Association of MUTYH mutations with clinical outcomes in metastatic prostate cancer.
719359,Poster Session A: Prostate Cancer,Real-world use of novel hormonal therapies in European and North American patients (pts) with metastatic hormone-sensitive prostate cancer (mHSPC).
719360,Poster Session A: Prostate Cancer,Implementing comprehensive population-wide genomic testing in metastatic prostate cancer (mPCa): A real-world Canadian cohort study.
719361,Poster Session A: Prostate Cancer,Treatment and outcomes among patients with metastatic castrate resistant prostate cancer with an AR gene alteration: Analysis from the Kaiser Permanente Northern California Healthcare System.
719362,Poster Session A: Prostate Cancer,Real-world outcomes of [177Lu]Lu-PSMA-617 (177Lu-PSMA-617) in taxane-naÃ¯ve patients with metastatic castration-resistant prostate cancer (mCRPC): A prostate cancer disease observation (PRECISION) data platform analysis.
719363,Poster Session A: Prostate Cancer,Outcomes of cabazitaxel following 177Lu-PSMA-617 (LuPSMA) in patients with metastatic castration-resistant prostate cancer (mCRPC).
719364,Poster Session A: Prostate Cancer,Treatment (Rx) patterns and attrition rates in patients (pts) with metastatic castration-resistant prostate cancer (mCRPC) treated between 2021-2025.
719365,Poster Session A: Prostate Cancer,Clinical and biomarker characteristics of treatment-emergent neuroendocrine prostate cancer.
719366,Poster Session A: Prostate Cancer,Outcomes of [177Lu]Lu-PSMA-617 (177Lu-PSMA-617) after sipuleucel-T in patients with metastatic castration-resistant prostate cancer (mCRPC): A real-world prostate cancer disease observation (PRECISION) data platform analysis.
719367,Poster Session A: Prostate Cancer,Beyond BRCA: Real-world outcomes with poly(ADP-ribose) polymerase inhibitors among patients with metastatic castration-resistant prostate cancer and homologous recombination repair mutations.
719368,Poster Session A: Prostate Cancer,Durable outcomes in aggressive-variant prostate cancer treated with first-line carboplatinâ€“docetaxel: A 10-year tertiary centre experience.
719369,Poster Session A: Prostate Cancer,End-of-life treatment patterns in patients (pts) with metastatic castration-resistant prostate cancer (mCRPC).
719370,Poster Session A: Prostate Cancer,Real-world utilization of tissue-free ctDNA monitoring in patients with prostate cancer.
719371,Poster Session A: Prostate Cancer,Association between metabolic syndrome and treatment outcomes in metastatic prostate cancer: A retrospective cohort analysis.
719372,Poster Session A: Prostate Cancer,Quantifying the hidden burden of metastatic prostate cancer.
719373,Poster Session A: Prostate Cancer,"Overall survival (OS) in elderly, frail, or high comorbidity veterans receiving androgen receptor pathway inhibitors (ARPIs) with androgen-deprivation therapy (ADT) vs ADT alone for de novo metastatic castration-sensitive prostate cancer (mCSPC)."
719374,Poster Session A: Prostate Cancer,Real-world treatment outcomes of advanced prostate cancer among Black compared to White men in the Medstar Health Network.
719375,Poster Session A: Prostate Cancer,Clinical outcomes in the real-world utilization of 177Lu-PSMA 617 in metastatic castrate-resistant prostate cancer.
719376,Poster Session A: Prostate Cancer,Sequencing of therapeutic agents before and after metastatic castration-resistant prostate cancer (mCRPC) diagnosis in an international real-world setting.
719377,Poster Session A: Prostate Cancer,Survival outcomes of patients (pts) with metastatic castration-resistant prostate cancer (mCRPC) receiving lutetium Lu 177 vipivotide tetraxetan (Lu) by prior taxane exposure.
719378,Poster Session A: Prostate Cancer,Gaps in BRCA mutation testing among mCRPC patients: Insights from US cancer practices (2018â€“2024).
719379,Poster Session A: Prostate Cancer,Baseline biochemical and clinical predictors of castration resistance and survival in metastatic hormone-sensitive prostate cancer treated with first-line androgen receptor pathway inhibitors: A multicenter real-world study.
719380,Poster Session A: Prostate Cancer,"Early prostate specific antigen response and overall survival in metastatic hormone sensitive prostate cancer: Real-world data on age, body mass index, and treatment."
719381,Poster Session A: Prostate Cancer,Discontinuation rates among patients with metastatic castration-sensitive prostate cancer (mCSPC) initiating novel androgen receptor inhibitors in oncology and non-oncology settings.
719382,Poster Session A: Prostate Cancer,Treatment outcomes of patients (pts) with small cell or neuroendocrine carcinoma (SC/NE) of the prostate: A single-institution experience.
719383,Poster Session A: Prostate Cancer,Real-world comparison of prostate-specific antigen (PSA) response in metastatic castration-sensitive prostate cancer (mCSPC) patients treated with apalutamide (APA) without docetaxel vs darolutamide (DARO) without docetaxel.
719384,Poster Session A: Prostate Cancer,Comparative outcomes of RANKL inhibitors versus bisphosphonates in metastatic prostate cancer with bone metastases: A TriNetX real-world analysis.
719385,Poster Session A: Prostate Cancer,Comparison of quantitative functional RAD51 foci and genomic alterations in predicting PARPi response in mCRPC: A multicenter real-world study.
719386,Poster Session A: Prostate Cancer,Impact of androgen receptor pathway inhibitor (ARPI) dose reduction on overall survival of metastatic castration-resistant prostate cancer: A multi-centre retrospective study.
719387,Poster Session A: Prostate Cancer,Influence of concomitant distant lymph node metastases in metastatic hormone-sensitive prostate cancer patients with bone metastases.
719388,Poster Session A: Prostate Cancer,Post-operative pelvic lymph node radiation therapy in lymph node positive prostate cancer and mortality risk.
719389,Poster Session A: Prostate Cancer,Prevalence of major adverse cardiac events in men with prostate cancer receiving androgen deprivation therapy in real-world clinical practice.
719390,Poster Session A: Prostate Cancer,Real-world genomic analysis of chemerin in prostate cancer (PCa) and correlation with markers of immune infiltration and activation.
719391,Poster Session A: Prostate Cancer,Real-world darolutamide safety and effectiveness in nonmetastatic castration-resistant prostate cancer (nmCRPC) by lipid-modifying agent use: Post hoc analyses of DAROL interim analysis 4 (IA4).
719392,Poster Session A: Prostate Cancer,Aggressive variants and clinical patterns of progression in real-world metastatic hormone-sensitive prostate cancer (mHSPC).
719393,Poster Session A: Prostate Cancer,Severe acute kidney injury after abiraterone vs enzalutamide in advanced prostate cancer: A SEERâ€“Medicare study.
719394,Poster Session A: Prostate Cancer,"Quality of life, adherence, and adverse events among patients with advanced prostate cancer treated with relugolix: 6-month results of the OPTYX multicenter registry."
719395,Poster Session A: Prostate Cancer,Integration of genomic classification and clinical characteristics as a predictor of survival in de novo metastatic prostate cancer.
719396,Poster Session A: Prostate Cancer,Real-world ARPI utilization patterns and outcomes in metastatic castration-sensitive prostate cancer.
719397,Poster Session A: Prostate Cancer,Real-world survival disparities and comorbidity predictors with L<span>u-177â€“PSMA-617</span> and PARP inhibitors in metastatic prostate cancer.
719398,Poster Session A: Prostate Cancer,Real-world patient characteristics and treatment patterns among patients with metastatic castration-resistant prostate cancer treated with talazoparib plus enzalutamide in the US.
719399,Poster Session A: Prostate Cancer,Clinical characteristics and survival outcomes in veterans receiving radium-223 for metastatic castration-resistant prostate cancer.
719400,Poster Session A: Prostate Cancer,Contemporary analysis of the prognostic significance of intraductal carcinoma of the prostate (IDC-P).
719401,Poster Session A: Prostate Cancer,"A prospective, randomized, cross-over trial to assess patient preference for goserelin microsphere versus goserelin implant in prostate cancer: Interim results of the GOMIMP study."
719402,Poster Session A: Prostate Cancer,Real-world comparative outcomes of abiraterone vs enzalutamide in metastatic castration-sensitive prostate cancer (mCSPC): A propensity-matched analysis from the TriNetX Global Health Research Network.
719403,Poster Session A: Prostate Cancer,Harnessing caregiver support to improve shared decision-making in metastatic prostate cancer treatment: A US-based quantitative survey.
719404,Poster Session A: Prostate Cancer,Utilization of bone modifying agents in metastatic hormone resistant prostate cancer: A retrospective study of real world patients.
719405,Poster Session A: Prostate Cancer,Identifying and predicting non-cancer mortality risk in mHSPC following doublet therapy in the STAMPEDE trial.
719406,Poster Session A: Prostate Cancer,Adding metformin to androgen deprivation therapy (ADT) in metastatic hormone-sensitive prostate cancer (mHSPC): Quality of life (QoL) results from STAMPEDE.
719407,Poster Session A: Prostate Cancer,Predicting the risk of prostate cancer metastasis at diagnosis in the VA Health Care System from H&amp;E slides of the prostate needle biopsies.
719408,Poster Session A: Prostate Cancer,"Association between prostate cancer and mental health: A comparison across cancer types using the Medical Expenditure Panel Survey, 2017â€“2022."
719409,Poster Session A: Prostate Cancer,The association of androgen deprivation therapy with time to dementia: A large competing risk analysis.
719410,Poster Session A: Prostate Cancer,Comparative real-world survival and prescription patterns of darolutamide versus apalutamide in non-metastatic hormone-resistant prostate cancer.
719411,Poster Session A: Prostate Cancer,Analysis of quality-adjusted time without symptoms or toxicity (Q-TWiST) in patients with metastatic hormone-sensitive prostate cancer: From the ARASENS trial.
719412,Poster Session A: Prostate Cancer,Quality of life assessment during prostate cancer radionuclide therapy: Updated FACT-RNT psychometric evaluation.
719413,Poster Session A: Prostate Cancer,SPPADE symptom burden and ePRO-based outcome prediction in patients with mCRPC treated with 177Lu-PSMA-617 (LuPSMA).
719414,Poster Session A: Prostate Cancer,Bone fractures with androgen pathway inhibitors (ARPi) in patients (pts) with prostate cancer (PCa): A systematic review and network meta-analysis.
719415,Poster Session A: Prostate Cancer,"Safety profile of darolutamide + ADT compared to enzalutamide, apalutamide, and abiraterone in metastatic castration-sensitive prostate cancer: Results from the first safety matching-adjusted indirect comparison."
719416,Poster Session A: Prostate Cancer,Development of cardiovascular disease risk factors in patients with prostate cancer initiating novel hormonal therapies (NHTs): Real world evidence.
719417,Poster Session A: Prostate Cancer,Changes in CTCAE v6: Effect on dose-escalation and dose-limiting toxicity with repeat analysis of recent clinical trials.
719418,Poster Session A: Prostate Cancer,Renal outcomes following 177Lu-PSMA-617 (LuPSMA) in patients with metastatic castration-resistant prostate cancer (MCRPC).
719419,Poster Session A: Prostate Cancer,Effects of a diet high in omega-3 polyunsaturated fatty acids (PUFAs) on inhibition of soluble epoxide hydrolase (sEH) and mitigation of painful docetaxel-induced peripheral neuropathy in mice.
719420,Poster Session A: Prostate Cancer,Prognostic significance of depressive symptoms in men with advance prostate cancer (PC): Results from the IRONMAN registry.
719421,Poster Session A: Prostate Cancer,ARTEMIS-003: A phase 2 study of HS-20093 (GSK5764227) in patients with metastatic castration-resistant prostate cancer (mCRPC).
719422,Poster Session A: Prostate Cancer,EXTRA-PC: A phase II trial of masofaniten (EPI-7386) and enzalutamide with androgen deprivation therapy (ADT) for patients with metastatic hormone-sensitive prostate cancer (mHSPC).
719423,Poster Session A: Prostate Cancer,Cardiovascular toxicity with androgen-receptor pathway inhibitors in metastatic prostate cancer: A meta-analysis of randomized trials.
719424,Poster Session A: Prostate Cancer,Efficacy and safety of the DLL3/CD3 T-cell engager obrixtamig in patients with genitourinary extrapulmonary neuroendocrine carcinomas with high or low DLL3 expression: Results from an ongoing phase I trial.
719425,Poster Session A: Prostate Cancer,ARTO trial (NCT03449719): Long-term overall survival analysis from a randomized phase II trial testing the benefit of stereotactic body radiotherapy addition to abiraterone acetate in oligometastatic castrate resistant prostate cancer patients.
719426,Poster Session A: Prostate Cancer,Impact of abiraterone versus enzalutamide on depression and anxiety in hormone-sensitive prostate cancer (HSPC).
719427,Poster Session A: Prostate Cancer,Impact of lutetium Lu 177 vipivotide tetraxetan on prostate cancer outcomes by race.
719428,Poster Session A: Prostate Cancer,Comparison of prostate-specific antigen kinetics between androgen receptor signaling inhibitor doublet therapy and androgen receptor signaling inhibitor with docetaxel triplet therapy in patients with metastatic castration-sensitive prostate cancer.
719429,Poster Session A: Prostate Cancer,A randomized phase 2 study of enhanced AR blockade with enzalutamide in high-risk patients with biochemical relapse undergoing salvage radiation: Final results from RTOG 3506 (STEEL).
719430,Poster Session A: Prostate Cancer,3-weekly docetaxel 75 mg/m2 vs 2-weekly docetaxel 50 mg/m2 in combination with darolutamide + ADT in patients with mHSPC: Subgroup analyses from the randomised phase 3 ARASAFE trial.
719431,Poster Session A: Prostate Cancer,"A phase 1/2 study of MRT-2359, a highly selective oral GSPT1 molecular glue degrader (MGD), in combination with enzalutamide in metastatic castration-resistant prostate cancer (mCRPC) harboring AR ligand binding domain (LBD) mutations."
719432,Poster Session A: Prostate Cancer,"A clinical, evidence-based risk estimator for individualizing benefit and response in oligometastatic prostate cancer (CEREBRO): A tool from the X-Met collaboration."
719433,Poster Session A: Prostate Cancer,"Circulating tumor DNA (ctDNA) dynamics in bone-dominant metastatic castration resistant prostate cancer (mCRPC) treated with radium-223 with or without olaparib: Biomarker analyses from the multicenter, randomized, phase 2, investigator-initiated COMRADE trial."
