abstract_id,Session title,abstract Title,Ground Truth,indication
147511,Stem Cell Transplantation - Clinical,Narsoplimab (Oms721) Treatment Contributes To Improvements In Organ Function In Adult Patients With High-Risk Transplant-Associated Thrombotic Microangiopathy,,
213047,Geriatric Urological Society (GUS),Parkinson's Disease and the Impact on Urologic Health in Older Adults,Parkinson's Disease;;Older Adults,Elderly Parkinson's Disease
327741,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster II",Intensive Therapy for NPM1 Mutant AML Patients: Negative Impact of FLT3-ITDhighbut Not FLT3-ITDlow and FLT3-TKD and Role of Transplant in Patients over 60 Years of Age,NPM1;;Mutant;;AML,NPM1-Mutant Acute Myeloid Leukemia
180285,Bone Marrow Failure: Poster I,Predictors of Efficacy in Chinese Patients with Severe Aplastic Anemia Treated with Eltrombopag and Intensive Immunosupressive Therapy,Severe Aplastic Anemia,Severe Aplastic Anemia
294973,MSD - Navigating through the rapidly evolving treatment landscape for GI Cancers - A Clinical & Patient Centric Approach towards implementing Immunotherapy,Changing GEC Patient Care with IO plus Chemotherapy in First-Line,GI Cancers;;First-Line,First-Line Gastrointestinal Cancer
262206,Chronic myeloid leukemia - Clinical,Bosutinib Dose Optimization In The Second-Line Treatment Of Elderly Cml Patients: Extended 3-Year Follow-Up And Final Results Of The Best Study,Second-Line;;Elderly;;Cml,Second-Line Elderly Chronic Myeloid Leukemia
147521,Thrombosis And Vascular Biology - Biology & Translational Research,Thrombophilia As Risk Factor For Asparaginase Related Venous Thromboembolism In Pediatric And Young Adult Patients Affected By Acute Lymphoblastic Leukemia,Venous Thromboembolism;;Pediatric;;Young Adult,Pediatric Young Adult Venous Thromboembolism
393283,Developmental Therapeutics,"A Phase I Study Of Safety, Pharmacokinetics, And Pharmacodynamics Of Scr-6920, A Protein Arginine Methyltransferase 5(Prmt5) Inhibitor, In Patients With Advanced Malignant Tumors",Advanced;;Malignant Tumors,Advanced Malignant Tumor
262209,Chronic myeloid leukemia - Clinical,Real-Life Outcomes Of Ponatinib Treatment In Patients With Chronic Myeloid Leukemia (Cml) Or Philadelphia Chromosome-Positive Acute Lymphoblastic Leukemia (Ph+All): 5-Year-Data From A Belgian Registry,Chronic Myeloid Leukemia;;Philadelphia Chromosome-Positive;;Acute Lymphoblastic Leukemia,Chronic Myeloid Leukemia;;Ph Chromosome-Positive Acute Lymphoblastic Leukemia
180298,Bone Marrow Failure: Poster I,"Pozelimab, a Human Monoclonal Antibody Against Complement Factor C5, Provided Inhibition of Intravascular Hemolysis in Patients with Paroxysmal Nocturnal Hemoglobinuria",Paroxysmal Nocturnal Hemoglobinuria,Paroxysmal Nocturnal Hemoglobinuria
393291,Developmental Therapeutics,"Preclinical Evaluation Of Hlx42, A Novel Egfr-Targeting Adc, For Cetuximab Or Tki Resistant Cancer",Cancer,Cancer
180300,Bone Marrow Failure: Poster I,Clinical Presentation of Patients with Adult Late-Onset Telomere Biology Disorders - Results from the Aachen Telomeropathy Registry,Adult;;Late-Onset;;Telomere Biology Disorders,Adult Late-Onset Telomere Biology Disorder
327760,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster II",Clinical and Molecular Characterization of Newly Diagnosed IDH/TP53 Co-Mutated AML and Impact of Genomically Sensitive Treatment Strategies,Newly Diagnosed;;IDH;;TP53;;Co-Mutated;;AML,Newly Diagnosed IDH-Mutated TP53-Mutated Acute Myeloid Leukemia
311376,"Abstracts: RA - Diagnosis, Manifestations, and Outcomes I: Pre- and Early Disease",Sputum RA-Associated Autoantibodies Independently Associate with Future Development of Classified RA in an At-Risk Cohort of Individuals with Systemic Anti-CCP Positivity,RA ,Rheumatoid Arthritis
229467,Vaccines and Immunity against Bacteria and Parasites,"The novel adjuvant, ADA-1, restores age-associated defects in the adaptive immune response to Clostridioides difficile infection and vaccination in an aging mouse model",Clostridioides difficile infection,Clostridioides Difficile Infection
327778,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster III",The LSC17 Score Correlates with the ELN 2022 Classification of AML and Is an Independent Predictor of Detectable Measurable Residual Disease after Induction Chemotherapy,AML,Acute Myeloid Leukemia
147554,Acute Lymphoblastic Leukemia - Clinical,Antibodies To Pegylated E. Coli Asparaginase Predict The Occurrence Of Hypersensitivity Reactions In High-Risk Patients Undergoing The Consolidation Phase Of The Aieop-Bfm All 2009 Protocol.,High-Risk;;Acute Lymphoblastic Leukemia,High-Risk Acute Lymphoblastic Leukemia
327789,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster III","Multiomic Single-Cell Sequencing of Mixed Phenotypic Acute Leukemia (MPAL) Reveals Complex Immunophenotypic, Transcriptional, and Genetic Heterogeneity",Mixed Phenotypic Acute Leukemia,Mixed Phenotypic Acute Leukemia
376961,Acute myeloid leukemia - Clinical,Lifetime Clinical Outcomes Of Cpx-351 Versus 7+3 Modeled From The 5-Year Results Of A Randomized Phase 3 Trial For Older Adults With Newly Diagnosed High-Risk Or Secondary Acute Myeloid Leukaemia,Older Adults;;Newly Diagnosed;;High-Risk;;Secondary;;Acute Myeloid Leukaemia,Elderly Newly Diagnosed High-Risk Secondary Acute Myeloid Leukaemia
327823,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster I",Quantitative Impact of Mutated NPM1 MRD in Patients with AML Undergoing Allogeneic Stem Cell Transplantation,Mutated;;NPM1;;AML,NPM1-Mutated Acute Myeloid Leukemia
311449,Abstracts: SLE - Treatment,Hydroxychloroquine Dosing Less Than 5 Mg/kg/day Leads to Increased Hospitalizations for Systemic Lupus Erythematosus Flares,Systemic Lupus Erythematosus,Systemic Lupus Erythematosus
327859,"Acute Lymphoblastic Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster II",Robust Validation of the UKALL High Hyperdiploid Risk Profile Using Individual Patient Data Collected By the Harmony Alliance,ALL,Acute Lymphoblastic Leukemia
393400,Gynaecological Cancers,Tumor-Informed Ctdna Detection As A Predictive Marker For Postoperative Residual Disease In Epithelial Ovarian Cancer: A Feasibility Study,Epithelial Ovarian Cancer,Epithelial Ovarian Cancer
377049,Acute myeloid leukemia - Biology & Translational Research,"Therapeutic Potential And Strategies Of Pim447, A Pan-Pim Inhibitor, Targeting Refractory Myeloid Leukemia With Kit-Driven T(8/21)",Refractory;;Myeloid Leukemia,Refractory Myeloid Leukemia
180442,"Acute Myeloid Leukemias: Investigational Therapies, Excluding Transplantation and Cellular Immunotherapies: Poster I","Aspacytarabine (BST-236) As Monotherapy Is Safe, Well-Tolerated and Effective for the Treatment of Adults with Newly Diagnosed Acute Myeloid Leukemia Unfit for Intensive Therapy. Results of a Phase 2 Study",Adults;;Newly Diagnosed;;Acute Myeloid Leukemia,Adult Newly Diagnosed Acute Myeloid Leukemia
147689,Acute Myeloid Leukemia - Clinical,Induced Systemic T-Cell Specific Responses To Multiple Tumor-Associated Antigens After Allogenic Leukemia-Derived Dendritic Cell Vaccine Dcp-001 In Aml Patients With Persistent Mrd,Aml,Acute Myeloid Leukemia
409842,Collagen IV Conundrums: Genetic Variants and Clinical Management,Do All Collagen Variants Cause Glomerular Disease?,,
377088,Infections in hematology (incl. supportive care/therapy),Clinical Characteristics Of Patients With Prolonged Viral Shedding Of Omicron Variant In Haematological Disease,Haematological Disease,Haematological Disease
377121,Stem cell transplantation - Clinical,Single Nucleotide Polymorphisms In Patients With Endothelial Damage After Pediatric Allogeneic Hematopoietic Stem Cell Transplantation,,
311607,Bacterial Autoimmune Sequellae: Common and Newly Recognized Clinical Syndromes,"UTI Biofilms, Amyloid, and Lupus Flares",,
393583,Hepatocellular Carcinoma (Hcc),"Comparative Efficacy Of Systemic Sequential Regorafenib After Sorafenib Or Lenvatinib Treatment Failure For Advanced Hepatocellular Carcinoma: A Retrospective, Multi-Center, Real-World Study",Advanced;;Hepatocellular Carcinoma,Advanced Hepatocellular Carcinoma
393639,Investigational Immunotherapy,Analysis Of Pulmonary Adverse Events Associated With Immune Checkpoint Inhibitors Based On Faers And Vigibase Database,,
295345,Chronic lymphocytic leukemia (CLL): What is the optimal first-line therapy?,Presentation by Expert,Chronic lymphocytic leukemia,Chronic Lymphocytic Leukemia
393652,Melanoma And Other Skin Tumours,Adjuvant Treatment With Anti-Pd-1 In Acral Melanoma Patients: A Nationwide Study,Acral Melanoma,Acral Melanoma
344512,"New Insights into Cancer Initiation, Evolution, Therapy and Survivorship through Big Data Analysis",Ordered and selective patterns of cancer genome evolution revealed by lineage tracing of sporadic p53 loss,cancer,Cancer 
295375,"Gilead and Kite Oncology - Redefining the Lines of TNBC, Real-world management: improving survival for patients with metastatic TNBC",TNBC today: How can we increase survival for a very heterogenous and aggressive disease?,TNBC ,Triple-Negative Breast Cancer
213477,"MP11: Pediatric Urology: Neurogenic Bladder, Reconstruction & Urologic Emergencies",Endoscopic Injection Of The Bladder Neck Using Dextranomer Hyaluronate (Dx/Ha) In The Pediatric Patient: Results Of A Single Center Analysis With Long Term Follow Up,Neurogenic Bladder;;Pediatric,Pediatric Neurogenic Bladder
262670,Myeloproliferative neoplasms - Clinical,Higher Estimated Plasma Volume Status Is Associated With Increased Thrombotic Risk And Impaired Survival In Patients With Primary Myelofibrosis,Primary;;Myelofibrosis,Primary Myelofibrosis
262704,Platelet disorders,Low Serum Bdnf Levels Are Associated With Lower Platelets' Cd62P Reactivity And Increased Bleeding Tendency In Patients With Gaucher Disease,Gaucher Disease,Gaucher Disease
393855,"Nsclc, Metastatic",First-Line Osimertinib In Patients With Egfr Mutated Lung Cancer With Uncommon Mutations (Ocelot Study - Interim Analysis),Egfr;;Mutated;;Lung Cancer,EGFR-Mutated Lung Cancer
344703,Liquid Biopsies: Circulating Nucleic Acids and Circulating Tumor Cells 1,Development of a genome-wide methylome enrichment platform for multi-cancer early detection (MCED),cancer,Cancer
393888,"Nsclc, Metastatic",Updated Patient-Reported Outcomes From The Crown Study: Analyses In First-Line Alk+ Patients With (W) And Without (W/O) Baseline Brain Metastases (Bms) And W Or W/O Central Nervous System Adverse Events (Cns Aes),First-Line;;Alk+;;Metastatic;;Nsclc,First-Line ALK-Postive Metastatic Non-Small Cell Lung Cancer
410286,"Kidney Transplantation: Biomarkers, New and Old",Differential cfDNA Methylation in Kidney Allograft Rejection,,
410288,"Kidney Transplantation: Biomarkers, New and Old",Elevated Glycolytic Markers in Urinary Extracellular Vesicles in Kidney Transplant T Cell-Mediated Rejection,,
393942,"Nsclc, Metastatic",Recurrence Of Infusion-Related Reaction (Irrs) Associated To Avimantamab,Nsclc;;Metastatic,Metastatic Non-Small Cell Lung Cancer
410383,Kidney Transplantation: New Translational Insights,Outcomes Associated with Sodium-Glucose Cotransporter-2 Inhibitors in Kidney Transplant Recipients: A Real-World Analysis Using a Global Federated Database,,
230183,Breast Cancer-Metastatic,Treatment of alpelisib induced hyperglycemia with sodium-glucose cotransporter-2 inhibitors: A single institution experience.,hyperglycemia ,Hyperglycemia 
181043,Health Services Research-Non-Malignant Conditions: Poster I,Integrative Hematology Oncology Fellowship Program: A National Survey Based Analysis of Need,,
148309,Myeloproliferative Neoplasms - Clinical,Jak2V617F Allele Burden: An Independent Predictor Of Overt Fibrosis In Primary Myelofibrosis,Primary;;Myelofibrosis,Primary Myelofibrosis
263003,Acute myeloid leukemia - Clinical,Utility Of Flt3 Inhibitors In Patients With Acute Myeloid Leukemia (Aml) And T(6;9)(P22;Q34),Acute Myeloid Leukemia,Acute Myeloid Leukemia
410466,Acute Kidney Injury,AKI and Spontaneous Rupture of the Urinary Collecting System,AKI,Acute Kidney Injury
181105,Outcomes Research-Non-Malignant Conditions: Poster I,Vaso-Occlusive Events in Pediatric Sickle Cell Disease: Quantifying Social Disadvantage and Its Impact on Hospitalizations,Pediatric;;Sickle Cell Disease,Pediatric Sickle Cell Disease
164735,The Interplay Between COVID and other Infections,Reduction in Bloodborne Pathogen Splash Exposures After Implementation of Universal Masking and Eye Protection for COVID-19,,
312263,Moving on Up: Changing How We Define Early Knee OA and Get People Moving,Biomarker-Based Stratification in Osteoarthritis Patients and in Those at Risk: Advances in the Field,Osteoarthritis ,Osteoarthritis 
213982,MP36: Renal Transplantation & Vascular Surgery,The effect of renal transplantation on erectile functions in patients with end-stage renal disease.,end-stage;;renal disease,End-Stage Renal Disease
295920,Oligometastatic disease and oligoprogression in breast cancer,Systemic therapeutic options,Oligometastatic disease;;breast cancer,Oligometastatic Disease;;Breast Cancer
410619,"Fluid, Electrolytes, and Acid-Base Disorders",A Rare Case of Zonisamide-Induced Distal Renal Tubular Acidosis (RTA),Distal Renal Tubular Acidosis,Distal Renal Tubular Acidosis
410621,"Fluid, Electrolytes, and Acid-Base Disorders",Trimethoprim-Sulfamethoxazole-Associated Severe Hyponatremia,Severe;;Hyponatremia,Severe Hyponatremia
148549,Transfusion Medicine,Evaluation Of Red Blood Cell Autoantibodies And Associated Thrombotic Risk In A Tertiary Care Centre In Spain,,
148578,Acute Lymphoblastic Leukemia - Clinical,L-Asparaginase Associated Acute Pancreatitis In Children With Acute Lymphoblastic Leukemia,Children;;Acute Pancreatitis;;Acute Lymphoblastic Leukemia,Childhood Acute Pancreatitis;;Acute Lymphoblastic Leukemia
214129,MP45: Prostate Cancer: Markers,MicroRNA 185-5p is a novel biomarker associated with high-risk pathology at radical prostatectomy in patients with low-risk disease at diagnosis,Prostate Cancer,Prostate Cancer
394376,Renal Cancer,Adjuvant Everolimus (Eve) In Patients (Pts) With Completely Resected Very High-Risk Renal Cell Cancer (Rcc) And Clear Cell Histology: Results From The Phase Iii Swog S0931 (Everest) Trial,Resected;;Very High-Risk;;Renal Cell Cancer,Resected Very High-Risk Renal Cell Cancer
296082,"NSCLC, metastatic",A multicenter study of incidence of drug-induced lung disease in first-line osimertinib therapy and continuation of osimertinib administration,lung disease,Lung Disease
181510,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster II",ETS Family Transcription Factor Fusions in Childhood AML: Distinct Expression Networks and Clinical Implications,Childhood;;AML,Childhood Acute Myeloid Leukemia
181511,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster II",Functional Consequence and Therapeutic Targeting of Cryptic ALK Fusions (ALKfus) in Monosomy7 AML,AML,Acute Myeloid Leukemia
279835,Aging and Hematology: Real-world evidence of CAR T-cell therapy in older adults in Europe,RWD of CAR T-cell therapy in older adults: The UK experience,,
197935,Poster Session I (In-Person),No Signs of Neurodegenerative Effects in 15q11.2 BP1-BP2 Copy Number Variant Carriers,,
148814,Myelodysplastic Syndromes - Clinical,A Phase 3 Study Of The Efficacy And Safety Of Luspatercept Versus Epoetin Alfa For The Treatment Of Anemia Due To Lower-Risk Mds In Esa-Naive Patients Requiring Rbc Transfusions (The Commands Trial),Lower-Risk;;Mds,Low-Risk Myelodysplastic Syndrome
394576,Supportive Care,Prevention Of Taxane Chemotherapy Induced Nail Changes And Peripheral Neuropathy By Application Of Extremity Cooling: A Prospective Single Center Study With Intrapatient Comparison,Peripheral Neuropathy,Peripheral Neuropathy
394584,Supportive Care,Initial Geriatric Assessment And Chemotherapy Tolerability Treatment In Brazilian Patients With Malignant Neoplasm Of The Digestive System.,Malignant;;Neoplasm,Malignant Neoplasm
230744,"Gastrointestinal Cancer-Gastroesophageal, Pancreatic, and Hepatobiliary",Genomic determinants and clinical relevance of cancer-associated thrombosis in biliary tract cancers.,cancer-associated;;thrombosis;;biliary tract cancers,Cancer-Associated Thrombosis;;Biliary Tract Cancer
197976,Poster Session I (In-Person),Early-Life Trauma Exposure: The Role of vmPFC in Resilience to Trauma,Trauma,Trauma
296288,"Head and neck cancer, excluding thyroid",Real World Evidence of First-line Cetuximab (CX) plus Paclitaxel (PX) in Recurrent or Metastatic Squamous Cell Carcinoma of the Head and Neck (SCCHN),Recurrent;;Metastatic;;Squamous Cell Carcinoma of the Head and Neck,Recurrent or Metastatic Squamous Cell Carcinoma of the Head and Neck
148828,Myeloma And Other Monoclonal Gammopathies - Biology & Translational Research,Validation Of Algorithms To Identify First-Line Therapy (Induction And Maintenance) For Multiple Myeloma For Use In Electronic Healthcare Databases,First-Line;;Multiple Myeloma,First-Line Multiple Myeloma
230749,"Gastrointestinal Cancer-Gastroesophageal, Pancreatic, and Hepatobiliary",Clinical utility of immunotherapy hyperprogressive genes in hepatocellular carcinoma patients.,hepatocellular carcinoma,Hepatocellular Carcinoma
148829,Myeloma And Other Monoclonal Gammopathies - Clinical,A Clinical-Decision Tool To Improve The Strategy Of Multiple Myeloma Treatment,Multiple Myeloma,Multiple Myeloma
296292,Hepatocellular carcinoma (HCC),Prognosis-related molecular subtypes and immune features associated with hepatocellular carcinoma,hepatocellular carcinoma,hepatocellular carcinoma
279909,Pediatric hematology: Immunodeficiency-related lymphoproliferative disorders,Classification of immunodeficiency-related lymphoproliferative disorders,immunodeficiency-related lymphoproliferative disorders,Immunodeficiency-Related Lymphoproliferative Disorder
378207,Interactive Session: Chronic Lymphocytic Leukemia (CLL) and Beyond - Management of the Infection Burden,Interactive Panel Discussion: Challenging Cases Involving Infections Associated with CLL,CLL,Chronic Lymphocytic Leukemia
394614,Supportive Care,"Mortality Within 30 Days After Last Dose Of Intravenous Systemic Anti-Cancer Therapy: Single-Center, One-Year, Retrospective Analysis",,
345465,Mouse Models of Human Cancer,A non-surgical approach to develop an orthotopic colorectal cancer mouse model,colorectal cancer,Colorectal Cancer
214394,MP58: Prostate Cancer: Detection & Screening VII,ATM mutations are associated with high-risk architectural features in men with familial prostate cancer,familial;;prostate cancer,Familial Prostate Cancer 
394619,Supportive Care,Venous Thromboembolism (Vte) In Patients With Advanced High Grade Ovarian Carcinoma (Ahgoc) Receiving Parp Inhibitors,Advanced;;High Grade;;Ovarian Carcinoma,Advanced High Grade Ovarian Carcinoma
148861,Myeloma And Other Monoclonal Gammopathies - Clinical,Lenalidomide Versus Thalidomide Or Bortezomib As Maintenance Regimen For Non-Transplant Patients With Multiple Myeloma: Multi-Center Real World Experiences In China,Multiple Myeloma,Multiple Myeloma
181632,Aggressive Lymphomas: Prospective Therapeutic Trials: Poster II,Glofitamab Monotherapy Provides Durable Responses after Fixed-Length Dosing in Relapsed/Refractory (R/R) Non-Hodgkin Lymphoma (NHL) Patients (pts),Relapsed;;Refractory;;Non-Hodgkin Lymphoma,Relapsed/Refractory Non-Hodgkin Lymphoma
198019,Poster Session I (In-Person),"Hippocampal volume, FKBP5 genetic risk alleles, and childhood trauma interact to increase vulnerability to chronic multisite musculoskeletal pain",childhood;;trauma;;chronic;;multisite musculoskeletal pain,Chronic Multisite Musculoskeletal Pain;;Childhood Trauma
329094,Myeloma and Plasma Cell Dyscrasias: Prospective Therapeutic Trials: Poster II,"Updated Interim Results from a Phase 1 Study of HPN217, a Half-Life Extended Tri-Specific T Cell Activating Construct (TriTAC(r)) Targeting B Cell Maturation Antigen (BCMA) for Relapsed/Refractory Multiple Myeloma (RRMM)",Relapsed;;Refractory;;Multiple Myeloma,Relapsed/Refractory Multiple Myeloma
148870,Myeloma And Other Monoclonal Gammopathies - Clinical,Real World Evidence Of Carfilzomib In Relapsed Refractory Multiple Myeloma (Rrmm),Relapsed;;Refractory;;Multiple Myeloma,Relapsed/Refractory Multiple Myeloma
312715,Tumor Cell And Molecular Biology: Drug Resistance,Establishment And Characterization Of Two Er+/Her2- Xpdx Models Developed Sequentially Before And After Acquired Resistance To The Cdk4/6 Inhibitor Palbociclib From A Patient With Metastatic Breast Cancer,Metastatic;;Breast Cancer,Metastatic Breast Cancer
