abstract_id,abstract_title,session_title,ground_truth,approach_1_success,approach_1_indication,approach_1_confidence,approach_1_word_count,approach_1_length,approach_1_clinical_terms,approach_1_complexity,approach_1_has_abbreviations,approach_1_has_parentheses,approach_1_error,inter_model_avg_similarity,inter_model_consensus,similarity_o3_vs_Gemini-2.5-pro,approach_1_indication_response
147482,Overall And Progression-Free Survival In Patients Treated With Fedratinib As First-Line Myelofibrosis (Mf) Therapy And After Prior Ruxolitinib (Rux): Results From The Jakarta And Jakarta2 Trials,Myeloproliferative Neoplasms - Clinical,First-Line Myelofibrosis,True,First-Line Myelofibrosis;; Myelofibrosis Previously Treated with Ruxolitinib,0.98,7,76,1,0.45,False,False,,0.717557252,High,0.717557252,First-Line Myelofibrosis;; Myelofibrosis Previously Treated with Ruxolitinib
327732,Tandem Duplications of the UBTF gene in Adult AML: A Rare but Recurrent Alteration Associated with Myelodysplasia and Poor Outcome,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster II",Adult Acute Myeloid Leukemia,True,Adult UBTF Tandem Duplication-Positive AML,0.98,5,42,1,0.35,True,False,,0.288888889,Low,0.288888889,Adult UBTF Tandem Duplication-Positive AML
147508,Belumosudil For Chronic Graft-Versus Host Disease After 2 Or More Prior Lines Of Therapy: The Rockstar Study (Kd025-213),Stem Cell Transplantation - Clinical,Chronic Graft-Versus Host Disease,True,Third-Line or Later Chronic Graft-Versus Host Disease,0.98,7,53,2,0.55,False,False,,0.559322034,Moderate,0.559322034,Third-Line or Later Chronic Graft-Versus Host Disease
327741,Intensive Therapy for NPM1 Mutant AML Patients: Negative Impact of FLT3-ITDhighbut Not FLT3-ITDlow and FLT3-TKD and Role of Transplant in Patients over 60 Years of Age,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster II",NPM1-Mutant Acute Myeloid Leukemia,True,Elderly NPM1-Mutated Acute Myeloid Leukemia,0.95,5,43,2,0.45,False,False,,1.0,High,1.0,Elderly NPM1-Mutated Acute Myeloid Leukemia
262190,"Nemtabrutinib (Mk-1026), A Non-Covalent Inhibitor Of Wild-Type And C481S Mutated Bruton Tyrosine Kinase For B-Cell Malignancies: Efficacy And Safety Of The Phase 2 Dose-Expansion Bellwave-001 Study",Chronic lymphocytic leukemia and related disorders - Clinical,B-Cell Malignancy,True,Bruton Tyrosine Kinase Wild Type/C481S-Mutated B-Cell Malignancies,0.98,7,66,0,0.35,False,False,,0.385542169,Low,0.385542169,Bruton Tyrosine Kinase Wild Type/C481S-Mutated B-Cell Malignancies
180298,"Pozelimab, a Human Monoclonal Antibody Against Complement Factor C5, Provided Inhibition of Intravascular Hemolysis in Patients with Paroxysmal Nocturnal Hemoglobinuria",Bone Marrow Failure: Poster I,Paroxysmal Nocturnal Hemoglobinuria,True,Paroxysmal Nocturnal Hemoglobinuria,1.0,3,35,0,0.15,False,False,,1.0,High,1.0,Paroxysmal Nocturnal Hemoglobinuria
213104,What Clinical Innovations and Other Interventions Are Needed?,Quality Improvement Summit: Laying the Foundation for Primary Palliative Care in Urology,,True,,0.95,0,0,0,0.0,False,False,,0.0,Low,0.0,
393329,A Phase 1 Study Of Bal0891 As Monotherapy And In Combination With Chemotherapy In Patients With Advanced Solid Tumors.,Developmental Therapeutics,Advanced Solid Tumor,True,Advanced Solid Tumor,0.98,3,20,2,0.35,False,False,,1.0,High,1.0,Advanced Solid Tumor
229467,"The novel adjuvant, ADA-1, restores age-associated defects in the adaptive immune response to Clostridioides difficile infection and vaccination in an aging mouse model",Vaccines and Immunity against Bacteria and Parasites,Clostridioides Difficile Infection,True,Elderly Clostridioides Difficile Infection,0.95,4,42,0,0.2,False,False,,1.0,High,1.0,Elderly Clostridioides Difficile Infection
147554,Antibodies To Pegylated E. Coli Asparaginase Predict The Occurrence Of Hypersensitivity Reactions In High-Risk Patients Undergoing The Consolidation Phase Of The Aieop-Bfm All 2009 Protocol.,Acute Lymphoblastic Leukemia - Clinical,High-Risk Acute Lymphoblastic Leukemia,True,High-Risk Acute Lymphoblastic Leukemia,0.98,4,38,2,0.4,False,False,,0.710280374,High,0.710280374,High-Risk Acute Lymphoblastic Leukemia
327760,Clinical and Molecular Characterization of Newly Diagnosed IDH/TP53 Co-Mutated AML and Impact of Genomically Sensitive Treatment Strategies,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster II",Newly Diagnosed IDH-Mutated TP53-Mutated Acute Myeloid Leukemia,True,Newly Diagnosed IDH/TP53 Co-Mutated Acute Myeloid Leukemia,0.98,7,58,3,0.65,True,False,,1.0,High,1.0,Newly Diagnosed IDH/TP53 Co-Mutated Acute Myeloid Leukemia
262209,Real-Life Outcomes Of Ponatinib Treatment In Patients With Chronic Myeloid Leukemia (Cml) Or Philadelphia Chromosome-Positive Acute Lymphoblastic Leukemia (Ph+All): 5-Year-Data From A Belgian Registry,Chronic myeloid leukemia - Clinical,Chronic Myeloid Leukemia;;Ph Chromosome-Positive Acute Lymphoblastic Leukemia,True,Chronic Myeloid Leukemia;;Ph Chromosome-Positive Acute Lymphoblastic Leukemia,0.98,7,77,4,0.75,False,False,,1.0,High,1.0,Chronic Myeloid Leukemia;;Ph Chromosome-Positive Acute Lymphoblastic Leukemia
327789,"Multiomic Single-Cell Sequencing of Mixed Phenotypic Acute Leukemia (MPAL) Reveals Complex Immunophenotypic, Transcriptional, and Genetic Heterogeneity","Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster III",Mixed Phenotypic Acute Leukemia,True,Mixed Phenotypic Acute Leukemia,1.0,4,31,2,0.4,False,False,,1.0,High,1.0,Mixed Phenotypic Acute Leukemia
393283,"A Phase I Study Of Safety, Pharmacokinetics, And Pharmacodynamics Of Scr-6920, A Protein Arginine Methyltransferase 5(Prmt5) Inhibitor, In Patients With Advanced Malignant Tumors",Developmental Therapeutics,Advanced Malignant Tumor,True,Advanced Malignant Tumor,0.98,3,24,2,0.35,False,False,,0.979591837,High,0.979591837,Advanced Malignant Tumor
180300,Clinical Presentation of Patients with Adult Late-Onset Telomere Biology Disorders - Results from the Aachen Telomeropathy Registry,Bone Marrow Failure: Poster I,Adult Late-Onset Telomere Biology Disorder,True,Adult Late Onset Telomere Biology Disorders,0.98,6,43,1,0.4,False,False,,1.0,High,1.0,Adult Late Onset Telomere Biology Disorders
262206,Bosutinib Dose Optimization In The Second-Line Treatment Of Elderly Cml Patients: Extended 3-Year Follow-Up And Final Results Of The Best Study,Chronic myeloid leukemia - Clinical,Second-Line Elderly Chronic Myeloid Leukemia,True,Second-Line Elderly Chronic Myeloid Leukemia,0.98,5,44,2,0.45,False,False,,0.818181818,High,0.818181818,Second-Line Elderly Chronic Myeloid Leukemia
147521,Thrombophilia As Risk Factor For Asparaginase Related Venous Thromboembolism In Pediatric And Young Adult Patients Affected By Acute Lymphoblastic Leukemia,Thrombosis And Vascular Biology - Biology & Translational Research,Pediatric Young Adult Venous Thromboembolism,True,Pediatric Acute Lymphoblastic Leukemia;;Young Adult Acute Lymphoblastic Leukemia,0.98,8,80,2,0.6,False,False,,1.0,High,1.0,Pediatric Acute Lymphoblastic Leukemia;;Young Adult Acute Lymphoblastic Leukemia
327778,The LSC17 Score Correlates with the ELN 2022 Classification of AML and Is an Independent Predictor of Detectable Measurable Residual Disease after Induction Chemotherapy,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster III",Acute Myeloid Leukemia,True,Acute Myeloid Leukemia After Induction Chemotherapy,0.95,6,51,3,0.6,False,False,,0.602739726,Moderate,0.602739726,Acute Myeloid Leukemia After Induction Chemotherapy
393291,"Preclinical Evaluation Of Hlx42, A Novel Egfr-Targeting Adc, For Cetuximab Or Tki Resistant Cancer",Developmental Therapeutics,Cancer,True,Cetuximab-Resistant EGFR-Positive Cancer;;TKI-Resistant EGFR-Positive Cancer,0.9,5,76,3,0.55,True,False,,0.770491803,High,0.770491803,Cetuximab-Resistant EGFR-Positive Cancer;;TKI-Resistant EGFR-Positive Cancer
311376,Sputum RA-Associated Autoantibodies Independently Associate with Future Development of Classified RA in an At-Risk Cohort of Individuals with Systemic Anti-CCP Positivity,"Abstracts: RA - Diagnosis, Manifestations, and Outcomes I: Pre- and Early Disease",Rheumatoid Arthritis,True,Anti-CCP Positive Pre-Rheumatoid Arthritis,0.95,4,42,1,0.3,True,False,,0.909090909,High,0.909090909,Anti-CCP Positive Pre-Rheumatoid Arthritis
295042,Invited Discussant 1312O and 1313O,Proffered Paper session: Policy and preventive strategies,,True,,1.0,0,0,0,0.0,False,False,,0.0,Low,0.0,
229509,Osteoclast differentiation alters monocyte inflammatory responses to Staphylococcus aureus,Cells of the Innate Immune System,Staphylococcus Aureus Infection,True,Staphylococcus aureus Infection,0.95,3,31,0,0.15,False,False,,1.0,High,1.0,Staphylococcus aureus Infection
180358,Targeting Metabolic Vulnerabilities in Primary Effusion Lymphoma Using the Novel Nucleoside Analog 6-Eti,Molecular Pharmacology and Drug Resistance: Lymphoid Neoplasms: Poster I,Primary Effusion Lymphoma,True,Primary Effusion Lymphoma,0.99,3,25,1,0.25,False,False,,1.0,High,1.0,Primary Effusion Lymphoma
311447,CAR T Cell Treatment of Refractory Systemic Lupus Erythematosus,Abstracts: SLE - Treatment,Refractory Systemic Lupus Erythematosus,True,Refractory Systemic Lupus Erythematosus,1.0,4,39,1,0.3,False,False,,1.0,High,1.0,Refractory Systemic Lupus Erythematosus
327817,Connecting Genetic Heterogeneity with Single-Cell Transcriptome Dysregulations in Pediatric Acute Myeloid Leukemia,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster I",Pediatric Acute Myeloid Leukemia,True,Pediatric Acute Myeloid Leukemia,1.0,4,32,2,0.4,False,False,,1.0,High,1.0,Pediatric Acute Myeloid Leukemia
376946,Automated Metrics From The Electronic Health Record Enable Evaluation Of Palliative Care In Patients With Acute Myeloid Leukaemia: A Data Science Approach,Quality of life and palliative care,Acute Myeloid Leukemia,True,Acute Myeloid Leukaemia,1.0,3,23,1,0.25,False,False,,1.0,High,1.0,Acute Myeloid Leukaemia
262259,Multiplex Deletion Of Myeloid Antigens Cd33 And Cll-1 By Crispr/Cas9 In Human Hematopoietic Stem Cells Highlights The Potential Of Next-Generation Transplants For Aml Treatment.,"Gene therapy, cellular immunotherapy and vaccination - Biology & Translational Research",Acute Myeloid Leukemia,True,Acute Myeloid Leukemia,0.95,3,22,2,0.35,False,False,,1.0,High,1.0,Acute Myeloid Leukemia
409754,Audience Q&A,Regulating the Regulator: Exploring the Therapeutic Landscape for Complement-Mediated Kidney Diseases,,True,Complement-Mediated Kidney Diseases,0.98,3,35,1,0.25,False,False,,1.0,High,1.0,Complement-Mediated Kidney Diseases
229493,Pan-coronavirus neutralizing S2 human monoclonal antibodies and utility of direct respiratory administration as combination therapy with S1 antibodies against SARS-CoV-2,Vaccination and immunotherapy against COVID-19,SARS-CoV-2 Infection,True,COVID-19,0.95,1,8,0,0.05,True,False,,1.0,High,1.0,COVID-19
327823,Quantitative Impact of Mutated NPM1 MRD in Patients with AML Undergoing Allogeneic Stem Cell Transplantation,"Acute Myeloid Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster I",NPM1-Mutated Acute Myeloid Leukemia,True,NPM1-Mutated MRD-Positive Acute Myeloid Leukemia,0.98,5,48,3,0.55,True,False,,0.843373494,High,0.843373494,NPM1-Mutated MRD-Positive Acute Myeloid Leukemia
311449,Hydroxychloroquine Dosing Less Than 5 Mg/kg/day Leads to Increased Hospitalizations for Systemic Lupus Erythematosus Flares,Abstracts: SLE - Treatment,Systemic Lupus Erythematosus,True,Flaring Systemic Lupus Erythematosus,0.95,4,36,0,0.2,False,False,,0.8,High,0.8,Flaring Systemic Lupus Erythematosus
311433,Overall and Post-vaccination Prevalence of Severe COVID-19-related Events Among Commercially Insured Patients with Systemic Lupus Erythematosus and the General U.S. Population,"Abstracts: SLE - Diagnosis, Manifestations, and Outcomes II: Complications",Systemic Lupus Erythematosus,True,Severe COVID-19;; Systemic Lupus Erythematosus,0.98,5,46,1,0.35,True,False,,0.567567568,Moderate,0.567567568,Severe COVID-19;; Systemic Lupus Erythematosus
376961,Lifetime Clinical Outcomes Of Cpx-351 Versus 7+3 Modeled From The 5-Year Results Of A Randomized Phase 3 Trial For Older Adults With Newly Diagnosed High-Risk Or Secondary Acute Myeloid Leukaemia,Acute myeloid leukemia - Clinical,Elderly Newly Diagnosed High-Risk Secondary Acute Myeloid Leukaemia,True,Older Adult Newly Diagnosed High-Risk Acute Myeloid Leukaemia;;Older Adult Newly Diagnosed Secondary Acute Myeloid Leukaemia,0.98,15,124,2,0.95,False,False,,0.991803279,High,0.991803279,Older Adult Newly Diagnosed High-Risk Acute Myeloid Leukaemia;;Older Adult Newly Diagnosed Secondary Acute Myeloid Leukaemia
393371,Ccne1 Amplification Defines A Good Prognostic Subgroup Among Brcawt/Hrdneg Advanced High-Grade Ovarian Cancer (Hgoc),Gynaecological Cancers,Advanced High-Grade Ovarian Cancer,True,Advanced High Grade CCNE1-Amplified BRCA Wild-Type/HRD-Negative Ovarian Cancer,0.98,8,78,4,0.8,True,False,,0.53125,Moderate,0.53125,Advanced High Grade CCNE1-Amplified BRCA Wild-Type/HRD-Negative Ovarian Cancer
393337,Efficacy And Safety Of High-Dose Chemotherapy As Second Or Subsequent Salvage Therapy In Relapsed Or Refractory Germ Cell Cancer Patients: A Multicentric Analysis,Germ Cell (Testicular) Cancer And Penile Cancer,Relapsed or Refractory Germ Cell Cancer,True,Second-Line or Later Relapsed/Refractory Germ Cell Cancer,0.95,7,57,3,0.65,False,False,,0.654545455,Moderate,0.654545455,Second-Line or Later Relapsed/Refractory Germ Cell Cancer
213157,Society for the Study of Male Reproduction (SSMR),Society for the Study of Male Reproduction (SSMR),,True,,1.0,0,0,0,0.0,False,False,,0.0,Low,0.0,
393407,Mental And Socioeconomic Burden In Co-Parents And Children Of Patients With Endometrial And Cervical Cancer: A Swedish Population-Based Study,Gynaecological Cancers,Childhood Endometrial Cancer;;Childhood Cervical Cancer,True,Endometrial Cancer;;Cervical Cancer,0.98,3,35,1,0.25,False,False,,1.0,High,1.0,Endometrial Cancer;;Cervical Cancer
262328,"Pirtobrutinib, A Highly Selective, Non-Covalent (Reversible) Btk Inhibitor In Previously Treated Mantle Cell Lymphoma: Updated Results From The Phase 1/2 Bruin Study",Indolent and mantle-cell non-Hodgkin lymphoma - Clinical,Previously Treated Mantle Cell Lymphoma,True,Previously Treated Mantle Cell Lymphoma,0.99,5,39,2,0.45,False,False,,1.0,High,1.0,Previously Treated Mantle Cell Lymphoma
344232,Chair Introduction,Intercepting Molecular Residual Disease in the Clinic,,True,,0.1,0,0,0,0.0,False,False,,0.0,Low,0.0,
327865,Clinical Significance of IGH Clonality Analysis with RNA Sequencing in B-Cell Precursor Acute Lymphoblastic Leukemia,"Acute Lymphoblastic Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster III",B-Cell Precursor Acute Lymphoblastic Leukemia,True,B-Cell Precursor Acute Lymphoblastic Leukemia,0.98,5,45,2,0.45,False,False,,1.0,High,1.0,B-Cell Precursor Acute Lymphoblastic Leukemia
327859,Robust Validation of the UKALL High Hyperdiploid Risk Profile Using Individual Patient Data Collected By the Harmony Alliance,"Acute Lymphoblastic Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster II",Acute Lymphoblastic Leukemia,True,High Hyperdiploid Acute Lymphoblastic Leukemia,0.98,5,46,2,0.45,False,False,,1.0,High,1.0,High Hyperdiploid Acute Lymphoblastic Leukemia
180390,Clinical Characteristics Associated with Venous Thromboembolism in Patients with Non-APL Acute Myeloid Leukemia,Acute Myeloid Leukemias: Clinical and Epidemiological: Poster I,Venous Thromboembolism;;Acute Myeloid Leukemia,True,Non-APL Acute Myeloid Leukemia,0.98,4,30,2,0.4,True,False,,0.697674419,Moderate,0.697674419,Non-APL Acute Myeloid Leukemia
180389,Safety and Efficacy of Isavuconazole in Patients Aged 65 Years or Older with Invasive Fungal Disease: A Post-Hoc Analysis from the VITAL and Secure Studies,Acute Myeloid Leukemias: Clinical and Epidemiological: Poster I,Elderly Invasive Fungal Disease,True,Elderly Invasive Fungal Disease,0.98,4,31,1,0.3,False,False,,1.0,High,1.0,Elderly Invasive Fungal Disease
393382,The Predictive Role Of Circulating Exosomal Pd-L1 In Cervical Cancer Immunotherapy,Gynaecological Cancers,Cervical Cancer,True,Cervical Cancer,0.95,2,15,1,0.2,False,False,,0.491803279,Moderate,0.491803279,Cervical Cancer
393400,Tumor-Informed Ctdna Detection As A Predictive Marker For Postoperative Residual Disease In Epithelial Ovarian Cancer: A Feasibility Study,Gynaecological Cancers,Epithelial Ovarian Cancer,True,Residual Epithelial Ovarian Cancer,0.98,4,34,1,0.3,False,False,,1.0,High,1.0,Residual Epithelial Ovarian Cancer
262320,"Brentuximab Vedotin, Etoposide, Solumedrol, High Dose Ara-C & Platinum Followed By Hdt & Apbsct For Refractory/Relapsed Hodgkin Lymphoma Patients: Long-Term Results Of The Geltamo Group Breshap Study",Hodgkin lymphoma - Clinical,Refractory/Relapsed Hodgkin Lymphoma,True,Refractory/Relapsed Hodgkin Lymphoma,0.98,3,36,3,0.45,False,False,,0.808988764,High,0.808988764,Refractory/Relapsed Hodgkin Lymphoma
327866,The Rise and Fall of Leukemia Clones in Longitudinal Samples from Diagnosis to Relapse in KMT2A-rearranged Infant and Childhood Leukemia,"Acute Lymphoblastic Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster III",Relapsed KMT2A-Rearranged Infant Childhood Leukemia,True,Infant Relapsed KMT2A-Rearranged Acute Lymphoblastic Leukemia;;Childhood Relapsed KMT2A-Rearranged Acute Lymphoblastic Leukemia,0.98,11,127,3,0.85,False,False,,0.701030928,High,0.701030928,Infant Relapsed KMT2A-Rearranged Acute Lymphoblastic Leukemia;;Childhood Relapsed KMT2A-Rearranged Acute Lymphoblastic Leukemia
180403,Updated Results from a Phase II Study of Hyper-CVAD with Sequential Blinatumomab in Adults with Newly Diagnosed Philadelphia Chromosome-Negative B-Cell Acute Lymphoblastic Leukemia,"Acute Lymphoblastic Leukemias: Therapies, Excluding Transplantation and Cellular Immunotherapies: Poster I",Adult Newly Diagnosed Ph-Negative B-Cell Acute Lymphoblastic Leukemia,True,Newly Diagnosed Adult Ph Chromosome-Negative B-Cell Acute Lymphoblastic Leukemia,0.98,9,80,4,0.85,False,False,,0.925,High,0.925,Newly Diagnosed Adult Ph Chromosome-Negative B-Cell Acute Lymphoblastic Leukemia
262300,Monoallelic And Biallelic Germline Mutations Affecting The Transcription Factor Helios Cause Pleiotropic Defects Of Immunity,"Hematopoiesis, stem cells and microenvironment",,True,Helios-Mutated Germline Pleiotropic Defects Of Immunity,0.98,6,55,0,0.3,False,False,,0.511627907,Moderate,0.511627907,Helios-Mutated Germline Pleiotropic Defects Of Immunity
393379,Correlation Between Chemotherapy Response Score (Crs) And Germline Brca1/2 (Gbrca) Status In Women Diagnosed With Figo Stage Iiic/Iv High-Grade Serous Ovarian Cancer (Hgsoc),Gynaecological Cancers,Stage IIIc/IV High-Grade Serous Ovarian Cancer,True,FIGO Stage IIIc/IV High Grade Serous Ovarian Cancer,0.98,8,51,3,0.7,True,False,,1.0,High,1.0,FIGO Stage IIIc/IV High Grade Serous Ovarian Cancer
409825,Advocacy and Policy: What Can Nephrologists and National Organizations Do?,Winning Team: The Nephrology Workforce for the 21st Century,,True,,0.0,0,0,0,0.0,False,False,,0.0,Low,0.0,
311500,"A Randomized, Double-Blind, Phase II Study of Glucocorticoid Replacement by Vilobelimab, an Anti-C5a Monoclonal Antibody, in ANCA-Associated Vasculitis",Abstracts: Vasculitis - ANCA-Associated,ANCA-Associated Vasculitis,True,ANCA-Associated Vasculitis,1.0,2,26,0,0.1,True,False,,1.0,High,1.0,ANCA-Associated Vasculitis
311504,Recovery of Renal Function Among ANCA-Associated Vasculitis Patients with Baseline eGFR <=20 in the Avacopan ADVOCATE Trial,Abstracts: Vasculitis - ANCA-Associated,ANCA-Associated Vasculitis,True,ANCA-Associated Vasculitis with Baseline eGFR <=20,0.98,6,50,0,0.3,True,False,,0.979591837,High,0.979591837,ANCA-Associated Vasculitis with Baseline eGFR <=20
180429,Modified Intensive Induction Treatment for Elderly Acute Myeloid Leukemia Patients Based on Peripheral Blast Clearance Rate: A Phase II Single-Arm Study,"Acute Myeloid Leukemias: Commercially Available Therapies, Excluding Transplantation and Cellular Immunotherapies: Poster I",Elderly Acute Myeloid Leukemia,True,Elderly Acute Myeloid Leukemia,0.98,4,30,2,0.4,False,False,,1.0,High,1.0,Elderly Acute Myeloid Leukemia
229586,Microbiota drive concomitant expression of IL-17 and the inhibitory receptor PD-1 to regulate effector functions of gd17 cells in the intestine,Neonatal and Fetal Mucosal Immunity,,True,,0.98,0,0,0,0.0,False,False,,0.0,Low,0.0,
327904,BCL6 Rearranged Indolent B-Cell Lymphomas Show Mutational Profile Similar to Marginal Zone Lymphomas,Lymphomas: Translational-Molecular and Genetic: Poster II,BCL6-Rearranged Indolent B-Cell Lymphoma;;Marginal Zone Lymphoma,True,BCL6-Rearranged Indolent B-Cell Lymphoma,0.98,4,40,1,0.3,False,False,,1.0,High,1.0,BCL6-Rearranged Indolent B-Cell Lymphoma
327877,The Influence of Genetic Ancestry on Disease Biology in Pediatric T-Cell Acute Lymphoblastic Leukemia,"Acute Lymphoblastic Leukemias: Biomarkers, Molecular Markers and Minimal Residual Disease in Diagnosis and Prognosis: Poster I",Pediatric T-Cell Acute Lymphoblastic Leukemia,True,Pediatric T-Cell Acute Lymphoblastic Leukemia,0.98,5,45,2,0.45,False,False,,1.0,High,1.0,Pediatric T-Cell Acute Lymphoblastic Leukemia
147677,Validation And Clinical Application Of An Unsupervised Analysis Approach To Measurable Residual Disease Testing In Acute Myeloid Leukemia,Acute Myeloid Leukemia - Clinical,Acute Myeloid Leukemia,True,Acute Myeloid Leukemia,0.98,3,22,2,0.35,False,False,,1.0,High,1.0,Acute Myeloid Leukemia
180437,Preliminary Results By Age Group of Treatment with CPX-351 Plus Venetoclax in Adults with Newly Diagnosed AML: Subgroup Analysis of the V-FAST Phase 1b Master Trial,"Acute Myeloid Leukemias: Commercially Available Therapies, Excluding Transplantation and Cellular Immunotherapies: Poster I",Adult Newly Diagnosed Acute Myeloid Leukemia,True,Adult Newly Diagnosed AML,0.98,4,25,1,0.3,True,False,,1.0,High,1.0,Adult Newly Diagnosed AML
295132,"Neo-adjuvant therapy in luminal breast cancer: Who to treat, which regimen, and what duration?","The three ""Ws"" of early breast cancer management",Luminal Breast Cancer,True,Luminal Breast Cancer,0.98,3,21,1,0.25,False,False,,1.0,High,1.0,Luminal Breast Cancer
147689,Induced Systemic T-Cell Specific Responses To Multiple Tumor-Associated Antigens After Allogenic Leukemia-Derived Dendritic Cell Vaccine Dcp-001 In Aml Patients With Persistent Mrd,Acute Myeloid Leukemia - Clinical,Acute Myeloid Leukemia,True,Acute Myeloid Leukemia with Persistent MRD,0.98,6,42,2,0.5,True,False,,1.0,High,1.0,Acute Myeloid Leukemia with Persistent MRD
