ID,Abstract Title,Primary Drug,Secondary Drug,Comparator Drug
3489,Treatment with First-Line Ibrutinib Improves Overall Survival in Patients with Chronic Lymphocytic Leukemia (CLL) and High-Risk Genomic Features to Rates Approximating an Age-Matched US Population: Pooled Analysis of Phase 3 Trials with 10 Years of Follow-up,Ibrutinib,,
3754,"Weekly Selinexor, Bortizomib and Dexamethasone (SVd) Versus Twice Weekly Bortizomib and Dexamethasone (Vd) in Chinese Patients with Relapsed and Refractory Multiple Myeloma (RRMM): Primary Analysis of Phase 3 Bench Study","Bortezomib, Dexamethasone, Selinexor",,"Bortezomib, Dexamethasone"
3780,High-Risk Multiple Myeloma in Benefit (IFM 2020-05) Phase 3 Randomized Study of Isatuximab (Isa) Plus Lenalidomide and Dexamethasone (Rd) with Bortezomib Versus Isard in Patients with Newly Diagnosed Transplant Ineligible Multiple Myeloma (NDMM TI),"Bortezomib, Dexamethasone, Isatuximab, Lenalidomide",,"Dexamethasone, Isatuximab, Lenalidomide"
4151,Primary Results of Patient-Reported Outcomes in Patients with Relapsed/Refractory Diffuse Large B-Cell Lymphoma Treated with Glofitamab Plus Gemcitabine and Oxaliplatin (Glofit-GemOx) Versus Rituximab Plus GemOx (R-GemOx) from the Phase III Starglo Study,"Gemcitabine, Glofitamab, Oxaliplatin",,Rituximab
4343,Updated Results and Longer Follow-up from the AUGMENT-101 Phase 2 Study of Revumenib in All Patients with Relapsed or Refractory (R/R) KMT2Ar Acute Leukemia,Revumenib,,
4356,Phase 1 Results: First-in-Human Phase 1/2 Study of the Menin-MLL Inhibitor Enzomenib (DSP-5336) in Patients with Relapsed or Refractory Acute Leukemia,Enzomenib,,
4404,A Phase II Randomized Trial Comparing Low-Dose Cytarabine and Venetoclax +/- Midostaurin in Non-Adverse Cytogenetic Risk Acute Myeloid Leukemia: The ALLG AMLM25 Intervene Trial,Cytarabine,Venetoclax,Midostaurin
4460,Randomized Phase III Study of Watchful Waiting Vs. Rituximab As First-Line Treatment in Patients with Advanced Stage Low Tumor Burden Follicular Lymphoma: JCOG1411/Flora Study,Rituximab,,
4461,"Impact of Minimal Residual Disease Analysis in the Era of Rituximab Maintenance in Follicular Lymphoma: Data from ""FOLL12"" Phase III Trial of the Fondazione Italiana Linfomi",Rituximab,,
4617,"ENERGIZE-T: A Global, Phase 3, Double-Blind, Randomized, Placebo-Controlled Study of Mitapivat in Adults with Transfusion-Dependent Alpha- or Beta-Thalassemia",Mitapivat,,
4724,Health-Related Quality of Life in Patients with Relapsed/Refractory Cutaneous T-Cell Lymphoma Treated By Lacutamab: Patient-Reported Outcomes from the Phase 2 Tellomak Trial,Lacutamab,,
4751,"Initial Results from a Phase 1/2 Study Evaluating Divesiran, a Novel Galnac Conjugated siRNA, in Patients with Polycythemia Vera (SANRECO)",Divesiran,,
4792,"A Randomized Phase 2, Investigator-Led Trial of Glofitamab-R-CHOP or Glofitamab-Polatuzumab Vedotin-R-CHP (COALITION) in Younger Patients with High Burden, High-Risk Large B-Cell Lymphoma Demonstrates Safety, Uncompromised Chemotherapy Intensity, a High Rate of Durable Remissions, and Unique FDG-PET Response Characteristics","Cyclophosphamide, Doxorubicin, Glofitamab, Polatuzumab Vedotin, Prednisone, Rituximab, Vincristine",,
4822,Results of the Phase II Randomized Trial EMN15/HOVON147: Carfilzomib-Lenalidomide-Dexamethasone Vs Lenalidomide-Dexamethasone in Patients with High-Risk Smoldering Multiple Myeloma,"Carfilzomib, Dexamethasone, Lenalidomide",,"Dexamethasone, Lenalidomide"
4866,A Phase 2 Study of Ianalumab in Patients with Primary Immune Thrombocytopenia Previously Treated with at Least Two Lines of Therapy: Interim Results from VAYHIT3,Ianalumab,,
4934,"Belantamab Mafodotin, Bortezomib, and Dexamethasone Vs Daratumumab, Bortezomib, and Dexamethasone in Relapsed/Refractory Multiple Myeloma: Overall Survival Analysis and Updated Efficacy Outcomes of the Phase 3 Dreamm-7 Trial","Belantamab Mafodotin, Bortezomib, Dexamethasone",,"Bortezomib, Daratumumab, Dexamethasone"
4960,A Randomized Phase II Study of Mosunetuzumab SC Plus Polatuzumab Vedotin Demonstrates Improved Outcomes Versus Rituximab Plus Polatuzumab Vedotin in Patients (Pts) with Relapsed or Refractory (R/R) Large B-Cell Lymphoma (LBCL),"Mosunetuzumab, Polatuzumab Vedotin",,"Polatuzumab Vedotin, Rituximab"
4980,"Fixed-Duration Acalabrutinib Plus Venetoclax with or without Obinutuzumab Versus Chemoimmunotherapy for First-Line Treatment of Chronic Lymphocytic Leukemia: Interim Analysis of the Multicenter, Open-Label, Randomized, Phase 3 AMPLIFY Trial","Acalabrutinib, Venetoclax",Obinutuzumab,
5173,"HSP-CAR30, an Academic Memory-Enriched CART30, for the Treatment of Relapsed or Refractory Hodgkin Lymphoma and CD30+ T Cell Lymphoma: Clinical Results of a Phase I/II Trial",HSP-CAR30,,
5613,Iptacopan Monotherapy in Patients with Cold Agglutinin Disease: Phase II Study Results,Iptacopan,,
66,"Phase 1 Healthy Volunteer Study of DISC-3405, a Recombinant Humanized Antibody Targeting TMPRSS6",DISC-3405,,
549,"Comparing the Efficacy and Safety of VAC (Venetoclax, Azacitidine, Chidamide) and VA Regimens As Induction Therapy for Newly Diagnosed Patients with Immunophenotypically Mature Monocytic AML","Azacitidine, Chidamide, Venetoclax",,"Azacitidine, Venetoclax"
659,Comparison of Efficacy and Safety of Gdpt and CHOP in First-Line Treatment of Peripheral T-Cell Lymphoma,"Cisplatin, Gemcitabine, Prednisone, Thalidomide",,CHOP
661,"Combination of Mitoxantrone Hydrochloride Liposome with Gemcitabine, Cisplatin and Dexamethasone in Patients with Relapsed or Refractory Peripheral T Cell Lymphoma: A Phase I Study","Cisplatin, Dexamethasone, Gemcitabine, Mitoxantrone Hydrochloride Liposome",cisplatin,
987,A Phase I Study of CD19 CAR T-Cells with Escalating Doses of Lymphodepletion with or without Rituximab in Relapsed/Refractory Diffuse Large B-Cell Lymphoma,CD19 Car T-Cell,Rituximab,
1041,"Comparative Efficacy of Daratumumab, Pomalidomide and Dexamethasone Compared to Daratumumab, Carfilzomib and Dexamethasone in Patients with Relapsed-Refractory Multiple Myeloma (RRMM) Aged 70 and Above: A Multicenter Study","Daratumumab, Dexamethasone, Pomalidomide",,"Carfilzomib, Daratumumab, Dexamethasone"
1216,"Comparison of Tacrolimus/Methotrexate and Post-Transplant Cyclophosphamide Graft-Versus Host Disease Prophylaxis for Haploidentical and Matched Allogeneic Stem Cell Transplantation Demonstrates Improved Overall Survival and Reduced Mortality, Shorter Length of Stay, Less Peritransplant Toxicity with Post-Transplant Cyclophosphamide","Allogeneic Stem Cell, Cyclophosphamide, Methotrexate, Tacrolimus",,Cyclophosphamide
2074,"Efficacy Outcomes By Minimal Residual Disease (MRD) Negativity in Patients with Relapsed or Refractory Multiple Myeloma Treated with Belantamab Mafodotin Plus Bortezomib and Dexamethasone Vs Daratumumab, Bortezomib, and Dexamethasone: Analysis from the Dreamm-7 Trial","Belantamab Mafodotin, Bortezomib, Dexamethasone",,"Bortezomib, Daratumumab, Dexamethasone"
2422,Lymphodepletion with Fludarabine/Cyclophosphamide Shows Higher Complete Response Rates Compared to Bendamustine Prior to CAR-T Therapy,"Cyclophosphamide, Fludarabine",,Bendamustine
2691,"Health-Related Quality of Life (HRQoL) in Patients with Newly Diagnosed Multiple Myeloma (NDMM) Ineligible for Transplantation and Treated with Isatuximab, Bortezomib, Lenalidomide, and Dexamethasone (Isa-VRd) Vs. Vrd Alone: Results from the Imroz Study","Bortezomib, Dexamethasone, Isatuximab, Lenalidomide",,"Bortezomib, Dexamethasone, Lenalidomide"
3863,Preclinical Efficacy of Decoy-Resistant IL-18 in Hematological Malignancies,IL-18,,
4283,"Motixafortide (CXCR4 Inhibition) Alone and in Combination with Natalizumab (VLA-4 Inhibition) As a Novel Regimen to Mobilize Hematopoietic Stem Cells for Gene Therapies in Sickle Cell Disease: A First-in-Human, Proof-of-Principle Safety and Feasibility Study",Motixafortide,Natalizumab,
148,Patient-Reported Chemotherapy-Induced Peripheral Neuropathy (CIPN) in Advanced-Stage Classical Hodgkin Lymphoma Treated with BrECADD and eBEACOPP in the HD21 Trial,"Bleomycin, Brentuximab Vedotin, Cyclophosphamide, Dexamethasone, Doxorubicin, Etoposide, Prednisone, Procarbazine, Vincristine",,
337,"Low Intensity Mini-Hypercvd (mHCVD), Inotuzumab Ozogamicin (Ino) with/without Blinatumomab (Blina) in Older Patients with Newly Diagnosed Philadelphia Negative B-Cell Acute Lymphoblastic Leukemia (B-ALL): 10 Years Update","Inotuzumab Ozogamicin, Mini-Hyper-CVD",Blinatumomab,
560,"Gemtuzumab Ozogamicin Added to Fludarabine, Cytarabine and G-CSF (FLAG-GO) Leads to Superior Molecular Response and Survival Outcomes Than Idarubicin (FLAG-IDA): 200 Patients Long-Term Follow up","Cytarabine, Fludarabine, Gemtuzumab Ozogamicin, Granulocyte-Colony Stimulating Factor",,Idarubicin
564,"Venetoclax Combined with Cladribine, Idarubicin, Cytarabine (CLIA) Results in Higher Remission Rates over Conventional 7+3 Chemotherapy without Increased Toxicity in Newly Diagnosed Acute Myeloid Leukemia","Cladribine, Cytarabine, Idarubicin, Venetoclax",,
569,Comparison of FLAG-Idarubicin to FLAG-Idarubicin Plus Venetoclax for Treatment of Newly Diagnosed AML in Patients Eligible for Intensive Induction. Analysis of 200 Consecutive Patients Treated at a Single Center,"Cytarabine, Fludarabine, Granulocyte Colony-Stimulating Factor, Idarubicin",,Venetoclax
686,"The Effectiveness of Levofloxacin in Prevention of Febrile Episodes in Non-Hodgkin Lymphoma Patients Receiving Rituximab, Cyclophosphamide, Vincristine, Doxorubicin and Prednisolone (R-CHOP)","Cyclophosphamide, Doxorubicin, Levofloxacin, Prednisolone, Rituximab, Vincristine",vincristine,
706,"The Primary Results of R-MTO Regimen (Rituximab, Methotrexate, Thiotepa, and Orelabrutinib) As the First-Line Induction Therapy Followed By Autologous Stem Cell Transplantation in Newly Diagnosed Primary Central Nervous System Lymphoma","Methotrexate, Orelabrutinib, Rituximab, Thiotepa",Autologous Stem Cell,
876,Tandem CAR-T-Cell Therapy Targeting CD5 and CD7: Facilitating Condition-Free Engraftment of Epitope-Edited Allogeneic HSCs,"Allogeneic Hematopoietic Stem Cell, CAR T-Cell",,
1209,Comparison of CRS- and Icans-Related Outcomes for Large B Cell Lymphoma Patients Treated with Commercial Axicabtagene Ciloleucel with or without Prophylactic Dexamethasone,Axicabtagene Ciloleucel,Dexamethasone,
1217,Treosulfan/Fludarabine Versus Thiotepa/Busulfan/Fludarabine for Allogeneic Hematopoietic Cell Transplantation in Patients with Lymphomas in the Ptcy Era: A Study on Behalf of the Grupo Espanol De Trasplante y Terapia Celular (GETH-TC),"Allogeneic Hematopoietic Cell, Fludarabine, Treosulfan",,"Busulfan, Fludarabine, Thiotepa"
1305,Comparison of Debulking Regimens (EPOCH and DCEP) for the Treatment of Relapsed or Refractory Multiple Myeloma,"Cyclophosphamide, Daunorubicin, Etoposide, Prednisone, Vincristine",,"Cisplatin, Cyclophosphamide, Dexamethasone, Etoposide"
1356,Split-Dose R-CHOP for Older Patients with Treatment Naive DLBCL,R-CHOP,,
1758,Comparisons between Haploidentical Hematopoietic Stem Cell Transplantation and Eltrombopag Adding to Standard Immunosuppression in Patients with Severe Aplastic Anemia,Haploidentical Hematopoietic Stem Cell,,Eltrombopag
2125,Comparison of Rabbit ATLG and ATG in Allogeneic Hematopoietic Stem Cell Transplantation for Children with Acquired Severe Aplastic Anemia,Anti-T Lymphocyte Globulin,,Antithymocyte Globulin
2232,"Patient-Reported Outcomes in Older Acute Myeloid Leukemia Patients Fit for Intensive Treatment, Who Received Intensified Treatment (DA +/- cladribine) Following No Evidence of Response to Course 1: Results from the NCRI AML18 Trial","Cytarabine, Daunorubicin",Cladribine,
2640,Outcomes of Relapsed or Refractory Diffuse Large B-Cell Lymphoma Treated with R-GemOx: A Multi-Center Retrospective Cohort Study,R-GEMOX,,
2663,Reduced FDG Uptake in the Brain on Baseline 18FDG PET/CT Predicts Worse Prognosis of Newly Diagnosed Intravascular Large B-Cell Lymphoma and Advanced-Stage Diffuse Large B-Cell Lymphoma,18FDG,,
2723,Racial and Ethnic Differences in Outcomes of Multiple Myeloma Patients Treated with Idecabtagene Vicleucel or Ciltacabtagene Autoleucel,"Ciltacabtagene Autoleucel, Idecabtagene Vicleucel",,
2954,"Optimized Recombinant Human Thrombopoietin(rhTPO) Regimen Versus Eltrombopag for Pre-Treated Patients with Primary Immune Thrombocytopenia: Interim Results from a Prospective, Multicenter, Randomized Trial (TE-ITP study)",Recombinant Human Thrombopoietin,,Eltrombopag
2983,The Effects of Tranexamic Acid and Recombinant Activated Factor VII on Traumatic Bleeding and Mortality in Mice,"Recombinant Activated Factor VII, Tranexamic Acid",,
3323,"Long-Term Follow-up Study of Patients Aged 80 Years or Older Treated By Attenuated Chemotherapy Mini-CHOP Plus Anti-CD20 for DLBCL, Update of the LNH03-7B and LNH09-7B Lysa Trials",Mini-CHOP,,
3338,"Orelabrutinib, Rituximab, and Thiotepa (ORT) in Combination with or without High-Dose Methotrexate in Untreated Primary Central Nervous System Lymphoma","Orelabrutinib, Rituximab, Thiotepa",Methotrexate,
3344,Real World Comparison of Axicabtagene Ciloleucel and Lisocabtagene Maraleucel in Relapsed or Refractory Diffuse Large B-Cell Lymphoma,"Axicabtagene Ciloleucel, Lisocabtagene Maraleucel",,
3641,Multi-Omics Reveal Immune Microenvironment Alterations in Multiple Myeloma and Its Precursor Stages,,,
3677,Belantamab Mafodotin Plus Pomalidomide and Dexamethasone Vs Pomalidomide Plus Bortezomib and Dexamethasone in Patients with Relapsed/Refractory Multiple Myeloma: A Subset Analysis in Patients Who Have Received 1 Prior Line of Therapy Including Lenalidomide,"Belantamab Mafodotin, Dexamethasone, Pomalidomide",,"Bortezomib, Dexamethasone, Pomalidomide"
3705,Personalized Neoantigen Peptide Vaccine with or without Lenalidomide for Patients with Intermediate or High Risk Smoldering Multiple Myeloma (SMM) to Prevent Progression to Multiple Myeloma (MM),Neoantigen Peptide Vaccine,Lenalidomide,
3964,Olutasidenib Alone or in Combination with Azacitidine in Patients with mIDH1 Myelodysplastic Syndromes/Neoplasms: Final 5-Year Data,Olutasidenib,Azacitidine,
3971,Glofitamab with Gemcitabine and Oxaliplatin Is Cost-Effective Versus Rituximab with Gemcitabine and Oxaliplatin for US Patients with Relapsed/Refractory Diffuse Large B-Cell Lymphoma Who Were Not Candidates for Autologous Stem Cell Transplant,"Gemcitabine, Glofitamab, Oxaliplatin",,"Gemcitabine, Oxaliplatin, Rituximab"
4065,"Comparison of Ixazomib, Lenalidomide Plus Dexamethasone (IRd) and Bortezomib, Lenalidomide Plus Dexamethasone (VRd) in Newly Diagnosed Multiple Myeloma in China","Dexamethasone, Ixazomib, Lenalidomide",,"Bortezomib, Dexamethasone, Lenalidomide"
4668,PET-Directed Therapy with ABVD Vs. Bv+AVD Followed By Nivolumab in Patients with Early Stage Hodgkin Lymphoma: A Propensity Score Matched Analysis of CALGB50604 and ACCRULY1601,"Adriamycin, Bleomycin, Dacarbazine, Vinblastine",,"Adriamycin, Brentuximab Vedotin, Dacarbazine, Nivolumab, Vinblastine"
4684,"Circulating Tumor Cells As a Biomarker to Identify High-Risk Transplant Eligible Myeloma Patients Treated with Bortezomib, Lenalidomide and Dexamethasone with or without Daratumumab during Induction/Consolidation, and Lenalidomide with or without Daratumumab during Maintenance: Results from the Perseus Study","Bortezomib, Dexamethasone, Lenalidomide","Daratumumab, Lenalidomide",
4796,"Decitabine Plus All-Trans Retinoic Acid Versus Decitabine Monotherapy for Myelodysplastic Syndromes with Excess Blasts: A Multicentre, Randomized Controlled Trial","All-Trans Retinoic Acid, Decitabine",,Decitabine
4835,"Safe and Effective Combination of Donor-Derived, Allogeneic CD19/CD22-CAR T Cells with Myeloablative Graft-Engineered Allo-HCT for High-Risk B-ALL","Allo-Hematopoietic Cell , CD19/CD22-CAR T Cell",,
5996,"Trial in Progress: A Multicenter, Open Label, Randomized, Phase 2 Study of Venetoclax and Azacitidine Plus Cusatuzumab Versus Venetoclax and Azacitidine Alone in Newly Diagnosed AML Patients Who Are Not Candidates for Intensive Therapy","Azacitidine, Cusatuzumab, Venetoclax",,"Azacitidine, Venetoclax"
6012,"SKYGLO: A Global Phase III Randomized Study Evaluating Glofitamab Plus Polatuzumab Vedotin + Rituximab, Cyclophosphamide, Doxorubicin, and Prednisone (Pola-R-CHP) Versus Pola-R-CHP in Previously Untreated Patients with Large B-Cell Lymphoma (LBCL)","Cyclophosphamide, Doxorubicin, Glofitamab, Polatuzumab Vedotin, Prednisone, Rituximab",,"Cyclophosphamide, Doxorubicin, Glofitamab, Polatuzumab Vedotin, Prednisone, Rituximab"
6022,"A Prospective, Open-Label, Multicenter, Randomized Controlled Study Comparing the Efficacy and Safety of Polatuzumab Vedotin, Rituximab, Cyclophosphamide, Doxorubicin, and Prednisone Combined with Orelabrutinib/Chidamide/Venetoclax/Lenalidomide/Penpulimab (Pola-RCHP-X) Versus RCHOP-X and Pola-Rchp in Previously Untreated Patients with Diffuse Large B-Cell Lymphoma","Chidamide, Cyclophosphamide, Doxorubicin, Lenalidomide, Orelabrutinib, Penpulimab, Polatuzumab Vedotin, Prednisone, Rituximab, Venetoclax",,
6067,A Phase III Randomized Trial for Frail Newly Diagnosed Multiple Myeloma Patients Comparing Bortezomib- Lenalidomide-Dexamethasone (VRd-Lite followed by Len maintenance) with Daratumumab-Lenalidomide- Dexamethasone (DRd followed by Len+/- Dara Maintenance): SWOG S2209,"Bortezomib, Dexamethasone, Lenalidomide",,"Daratumumab, Dexamethasone, Lenalidomide"
6089,"Guidance 05: A Prospective, Multicenter, Open-Label, Randomized, Controlled Study to Evaluate the Efficacy and Safety of Genotype-Guided Targeted Agents in Combination with Polatuzumab Vedotin, Rituximab, Cyclophosphamide, Doxorubicin and Prednisone (POLA-RCHP-X) Versus Pola-Rchp in Patients with Previously Untreated Diffuse Large B-Cell Lymphoma","Cyclophosphamide, Doxorubicin, Polatuzumab Vedotin, Prednisone, Rituximab",,"Cyclophosphamide, Doxorubicin, Polatuzumab Vedotin, Prednisone, Rituximab"
6094,"Monumental-6: A Phase 3 Study of Talquetamab + Pomalidomide or Talquetamab + Teclistamab Vs Elotuzumab + Pomalidomide + Dexamethasone (EPd) or Pomalidomide + Bortezomib + Dexamethasone (PVd) in Patients with Relapsed/Refractory Multiple Myeloma Who Received 1-4 Prior Lines of Therapy, Including Lenalidomide and an Anti-CD38 Monoclonal Antibody","Pomalidomide, Talquetamab, Teclistamab",,"Bortezomib, Dexamethasone, Elotuzumab, Lenalidomide, Pomalidomide"
