ID,Category,Sub Category,Keyword,Do/Don't,Action,Example_Title,Output_Indication,Generated_Rule,Rule_Generation_Status
11,Common Check points,General,Plural,X,,Assessment of hematological toxicity in patients with advanced neuroendocrine tumors and extensive/innumerable bone metastases undergoing lutetium-177 DOTATATE treatment.,Advanced Neuroendocrine Tumor;;Bone Metastases,"If the input contains ""Plural"" for medical indication formatting, DO NOT include this in the output indication, as this is merely a linguistic descriptor and does not convey clinically relevant information nor meet medical indication standards.",Success
12,Common Check points,General,Plural,X,,Evaluating novel therapies and circulating tumor DNA (ctDNA) as a marker of response in curatively treated gastrointestinal cancers with microscopic residual disease.,Gastrointestinal Cancer,"If the input contains ""Plural"" for medical indication formatting, DO NOT include this in the output indication, as pluralized terminology is not acceptable for standardized singular disease naming conventions.",Success
13,Common Check points,General,Space at the last,X,Trim the space,,,"If the input contains ""Space at the last"" for medical indication formatting, DO NOT include this in the output indication, instead trim any trailing spaces from the end of the indication to maintain consistent medical indication formatting.",Success
14,Common Check points,Sociodemographic,Gender,X,,Quality of Life in Males and Females with Tic Disorders,Tic Disorder,"If the input contains the keyword ""Gender"" for medical indication formatting, DO NOT include this term or any gender-related descriptor (e.g., male, female, sexes, genders) in the output indication, as sociodemographic attributes are not part of standardized clinical indications and their inclusion violates medical indication formatting standards.",Success
15,Common Check points,Sociodemographic,Gender,X,,Reproductive and fertility-related challenges in female patients diagnosed with early-onset colorectal cancer.,Early Onset Colorectal Cancer,"If the input contains ""Gender"" for medical indication formatting, DO NOT include this in the output indication, as gender is a sociodemographic descriptor that does not constitute part of standardized medical indication terminology; additionally, strip the term itself and any directly associated gender qualifiers (e.g., ""male patients,"" ""female,"" ""men,"" ""women"") unless those words are integral to the formal disease name.",Success
16,Common Check points,Sociodemographic,Gender,X,,Prosthetic surgery for male urinary incontinence : Future of prosthetic urology,Urinary Incontinence,"If the input contains ""Gender"" for medical indication formatting, DO NOT include this in the output indication, as gender is a sociodemographic descriptor and not a clinically actionable medical indication, and its presence would violate standardized medical indication formatting requirements.",Success
17,Common Check points,Sociodemographic,Gender,X,,Ki67 as a prognostic factor in male breast cancer (male BC): Results from a large GEICAM Spanish cohort of male BC.,Breast Cancer,"If the input contains the keyword ""Gender"" for medical indication formatting, DO NOT include this in the output indication, as sociodemographic descriptors such as “gender,” “male,” “female,” or “sex” do not represent a clinical disease entity, biomarker, stage, grade, or treatment term and therefore are not admissible as standalone medical indications.",Success
18,Common Check points,Sociodemographic,Ethnicity ,X,,Urothelial cancer : The unique clinicopathological characteristics and oncological outcomes of Chinese UTUC and differences from Americans,Upper Tract Urothelial Carcinoma,"If the input contains the keyword ""Ethnicity "" for medical indication formatting, DO NOT include this in the output indication, as sociodemographic descriptors such as ethnicity are not considered clinical indications and would violate standardized medical indication formatting.",Success
19,Common Check points,Sociodemographic,Race,X,,Understanding survivorship: A national survey of post-treatment experiences in Black prostate cancer survivors,Prostate Cancer ,"If the input contains ""Race"" for medical indication formatting, DO NOT include this in the output indication, as race is a sociodemographic descriptor and does not constitute a clinically actionable medical indication.",Success
20,Common Check points,Sociodemographic,Region,X,,"Effect of county-level income and rurality on cardiovascular disease mortality among Asian and Pacific Islander breast cancer survivors in the US, 2000-2018",Cardiovascular Disease;;Breast Cancer,"If the input contains the keyword ""Region"" for medical indication formatting, DO NOT include this in the output indication, as ""Region"" functions solely as a sociodemographic/geographic descriptor and provides no clinically actionable information; exclude even when it appears in phrases such as ""by region,"" ""regional differences,"" or ""region-specific analysis."" (Exception: if ""region"" is directly linked to an anatomical term—e.g., ""head and neck region,"" ""thoracic region""—treat it as part of the anatomical disease descriptor and process via the standard disease-extraction rules.)",Success
21,Common Check points,Sociodemographic,Region,X,,Mortality disparities among Asian Americans diagnosed with urologic cancer.,Urologic Cancer,"If the input contains the word “Region” (or its variants “region” / “regional”) for medical indication formatting and the term is used as a sociodemographic descriptor of patient geography (e.g., “Asian region,” “Mid-Atlantic region,” “region-specific incidence”), DO NOT include this term in the output indication, as geographical descriptors do not add clinically actionable information and are therefore excluded from standardized medical indication terminology; this exclusion is case-insensitive and must NOT be applied when “region” is clearly part of anatomical staging (e.g., “regional lymph nodes”) or genetic nomenclature (e.g., “chromosomal region 17p13”).",Success
22,Common Check points,Disease Characterisation,Chronic,**,When Chronic is followed by disease name,"Haploidentical Stem-Cell Transplantation For Chronic Granulomatous Disease, An Ebmt-Iewp Retrospective Study",Chronic Granulomatous Disease,"If the input contains the keyword ""Chronic"" for medical indication formatting, apply contextual processing: capture the entire noun phrase in which ""Chronic"" immediately (within the same phrase, no more than one intervening adjective) precedes a recognized disease term and output it verbatim as ""Chronic <Disease Name>"" (e.g., ""Chronic Granulomatous Disease""), separating multiple captured indications with "";;"", requiring phrase-level analysis to ensure that ""Chronic"" functions as part of a disease characterization and to exclude instances where it merely denotes duration (e.g., ""chronic exposure"", ""chronic treatment"").",Success
23,Common Check points,Disease Characterisation,Acute,**,When Acute is followed by disease name; and it should be a part of the disease,Exocrine And Endocrine Pancreatic Insufficiency After Acute Pancreatitis And Its Correlation With Severity Of Acute Pancreatitis,Acute Pancreatitis,"If the input contains the keyword ""Acute"" for medical indication formatting, apply contextual processing:  

• Identify whether ""Acute"" is directly attached to (or separated by no more than two stop-words such as “severe”, “complicated”, “exacerbation of”) a clinically accepted disease noun (e.g., pancreatitis, myeloid leukemia, lymphoblastic leukemia, myocardial infarction, renal failure, respiratory distress syndrome).  
• If this adjacency test is met, keep ""Acute"" fused with the disease term exactly as it appears in the source text (capital “A”, single space separator) and output it as one complete indication (e.g., “Acute Pancreatitis”, “Acute Myeloid Leukemia”).  
• If multiple “Acute + Disease” entities are found, list each in the order encountered and separate them with “;;”.  
• If ""Acute"" does NOT meet the adjacency test—meaning it functions only as a temporal/severity adjective (e.g., “acute pain”, “acute toxicity”, “acute phase proteins”) or is not linked to a recognized disease noun—omit ""Acute"" and do not generate a corresponding indication, because it does not describe a distinct disease entity.  
This requires contextual analysis of token order, punctuation, and a disease-name lexicon to distinguish bona-fide “Acute + Disease” constructions from generic adjectival usage, ensuring clinically precise and consistently formatted output indications.",Success
24,Common Check points,Disease Characterisation,Primary,**,When Primary is followed by disease name,An Uropathogenic Escherichia Coli Strain Aggravated Primary Biliary Cholangitis By Disrupting The Intestinal Barrier And Inducing Anti-Pdc-E2 Antibodies,Primary Biliary Cholangitis,"If the input contains the keyword ""Primary"" for medical indication formatting, apply contextual processing:  
• Scan the text to determine whether the word “Primary” is immediately followed (within one token, allowing for optional punctuation such as a single hyphen or comma) by a proper-case disease name or standard disease phrase (e.g., “Primary Biliary Cholangitis”, “Primary Sclerosing Cholangitis”, “Primary Myelofibrosis”).  
• When this pattern is confirmed, concatenate “Primary” with the full succeeding disease term and output it as one complete indication in the form “Primary <Disease Name>” (retain original capitalization, no additional punctuation), treating the combined phrase as a single indication unit to be separated from other indications with the standard “;;” delimiter.  
• Do NOT generate an indication when “Primary” is:  
  – followed by non-disease words (e.g., “endpoint”, “tumor”, “site”, “care”, “outcome”),  
  – used in a different grammatical position (e.g., “biliary cholangitis, primary form”), or  
  – part of a general adjective phrase unrelated to a recognized disease entity.  

This rule therefore requires contextual analysis to confirm that “Primary” functions as an integral component of a formally named disease before converting it into an output indication, ensuring precise and clinically valid medical indication formatting.",Success
25,Common Check points,Disease Characterisation,Secondary,**,When Secondary is followed by disease name,Secondary progressive MS cerebrospinal fluid induces axonal degeneration in human primary neurons,Secondary Progressive Multiple Sclerosis,"If the input contains the keyword ""Secondary"" for medical indication formatting, apply contextual processing:  
• Special action: Treat ""Secondary"" as a disease-characterisation qualifier only when it is immediately followed (within the same noun phrase, ignoring commas or the word “progressive”) by a recognised disease term or its common abbreviation (e.g., “MS” → “Multiple Sclerosis”). Capture the entire phrase beginning with “Secondary” through the complete disease name, convert all recognised abbreviations to their full, title-cased form, and output it exactly as ""Secondary <Full-Disease-Name>"" (e.g., “Secondary progressive MS” → “Secondary Progressive Multiple Sclerosis”).  
• Analysis requirement: Before applying, verify that the word “to” does NOT directly follow “Secondary” (e.g., “secondary to trauma” must be ignored) and that “Secondary” is not modifying non-disease words such as “endpoint,” “outcome,” or “analysis.” Retain a single space between words and terminate the resulting indication with the standard separator “;;” when concatenating with additional indications, to maintain consistent separation between multiple medical indications.",Success
26,Common Check points,Disease Characterisation,Second Primary,**,When Second Primary is followed by disease name,Recommendations for enhancing inclusion and management of esophagus cancer clinical trials: Insights on mortality of esophagus cancer as a second primary malignancy,Second Primary Esophageal Cancer,"If the input contains the keyword ""Second Primary"" for medical indication formatting, apply contextual processing:  

1. Detection  
   • Match the phrase “second primary” (case-insensitive, allow optional intervening punctuation).  
   • Confirm that it is immediately followed (≤ 3 tokens) by a disease noun phrase (e.g., “esophageal cancer”, “lung carcinoma”, “melanoma”).  
   • Ignore occurrences where “second primary” is used without a specific disease reference or is used in purely descriptive context (e.g., “second primary endpoint”).  

2. Extraction & Standardisation  
   • Capture the entire disease noun phrase up to, but not including, any subsequent comma, semicolon, coordinating conjunction, or sentence-terminating punctuation.  
   • Normalise the disease phrase to standard tumour nomenclature:  
     – Convert organ adjectives to title case canonical form (e.g., “esophagus” → “Esophageal Cancer”, “colon carcinoma” → “Colon Cancer”).  
     – Remove adjectives such as “malignancy”, “neoplasm”, “tumor” unless part of the canonical name, replacing them with “Cancer” when appropriate.  
     – Retain histology qualifiers when clinically essential (e.g., “Diffuse Large B-Cell Lymphoma”).  

3. Construction of the indication  
   • Concatenate the fixed prefix “Second Primary ” with the normalised disease phrase.  
   • Do not insert hyphens or additional punctuation.  
   • Example: “second primary malignancy of the esophagus” → “Second Primary Esophageal Cancer”.  

4. Multiples  
   • If more than one qualifying disease follows separate mentions of “second primary” within the same text, generate a separate indication for each and join them with “;;”.  

5. Output formatting  
   • Return the constructed indication(s) exactly as “Second Primary <Disease>”, in Title Case, with leading and trailing spaces trimmed, to maintain consistent separation between multiple medical indications.",Success
27,Gene Name,Gene Name,Gene Name,**,"Capture abbreviated form of gene name
",Enhancing immune checkpoint inhibitor efficacy with fulvestrant in estrogen receptor-positive breast cancer,ER-Positive Breast Cancer,"If the input contains the keyword ""Gene Name"" in genetic nomenclature context, apply contextual processing: identify any spelled-out gene or protein names and replace each with its HGNC-approved uppercase abbreviation; preserve any immediately adjoining clinical qualifier (Positive, Negative, Mutated, Amplified, Overexpressing, etc.) by attaching it to the abbreviation with a single hyphen, and retain the downstream disease term exactly as written, requiring a curated synonym-to-symbol mapping, case-insensitive whole-word matching, and step-wise substitution that outputs “<GeneSymbol>-<Qualifier> <Disease>”, maintaining standardized genetic mutation nomenclature.",Success
28,Gene Name,Gene Name,Gene Name,X,"Remove gene name alone when it is mentioned without any mutated, expressing",The Role of TP53 in Lung Cancer Progression,Lung Cancer,"If the input contains the keyword ""Gene Name"" in genetic nomenclature context, DO NOT include this in the output indication, as a gene name that appears without a functional qualifier (e.g., “mutated,” “mutation,” “altered,” “expressing/over-expressing,” “positive,” “fusion,” “rearranged”) does not by itself constitute a clinically actionable molecular status and therefore lacks sufficient clinical context.",Success
29,Gene Name,Gene Name,Gene Name,X,"Remove gene name alone when it is mentioned without any mutated, expressing",BRCA1 and Its Association With Breast Cancer Outcomes,Breast Cancer,"If the input contains a standalone gene symbol or gene name (e.g., “BRCA1”, “EGFR”, “TP53”) in genetic nomenclature context, but it is NOT immediately followed by, or grammatically linked to, any molecular qualifier such as “mutation/mutated”, “variant”, “amplification/amplified”, “deletion/deleted”, “overexpression/overexpressing”, “positive/negative”, or similar descriptor, DO NOT include this gene reference in the output indication, as a bare gene name does not provide sufficient clinical context for an actionable medical indication.",Success
30,Gene type,Gene type,Gene Mutation,✔,"If Gene Mutation is mentioned, change it to Mutated. Add hypen between gene name and ""Mutated"" word",Detection of hotspot PIK3CA mutations in primary tumors and plasma-cfDNA of breast cancer patients using a novel highly sensitive CE-IVD kit,PIK3CA-Mutated Primary Tumor;;PIK3CA-Mutated Breast Cancer,"If the input contains the keyword ""Gene Mutation"" in the context of genetic or molecular characterization, apply the following processing: 

• Detect any expression that references a mutation of a specific gene (e.g., ""[GENE] mutation"", ""[GENE] gene mutation"", ""mutation in [GENE]"", ""[GENE] mutated"").  
• Normalize the gene name to its official HGNC symbol in uppercase.  
• Replace the entire mutation phrase with the format ""<GENE>-Mutated"":  
  – Delete the words ""gene"", ""mutation"", ""mutations"", or ""mutated"".  
  – Append the word ""Mutated"" directly to the gene symbol, inserting a single hyphen with no surrounding spaces (e.g., ""PIK3CA mutation"" → ""PIK3CA-Mutated"").  
• If multiple distinct indications result, separate each with the standard double-semicolon delimiter "";;"".  

This processing produces indications such as ""PIK3CA-Mutated Primary Tumor"" or ""PIK3CA-Mutated Breast Cancer"", maintaining standardized genetic mutation nomenclature.",Success
31,Gene type,Gene type,Gene Mutant,✔,<Gene>-Mutated,"A phase 1, open-label, multicenter study evaluating MK-1084 as monotherapy and in combination with other therapies in patients with KRAS G12C mutant advanced solid tumors.",KRAS G12C-Mutated Advanced Solid Tumor,"If the input contains the keyword ""mutant"" (case-insensitive) in the context of genetic or molecular characterization, apply the following processing:  

1. Identify the immediately preceding gene symbol with any specified variant (e.g., “KRAS G12C”, “BRAF V600E”, “EGFR”) that is directly followed by the word “mutant” (optionally preceded by “gene” or “form” and optionally separated by commas, hyphens, or spaces).  
2. Delete the word “mutant” (and any optional preceding “gene” or “form”).  
3. Append the word “Mutated” to the gene/variant with a single hyphen: “<Gene/Variant>-Mutated”.  
4. Preserve original capitalization of the gene symbol and use an initial capital “M” for “Mutated”.  
5. Retain any disease or stage description that follows, separated from the newly formed indication with the standard “;;” delimiter if additional indications exist.  

Example conversion:  
“KRAS G12C mutant advanced solid tumors” → “KRAS G12C-Mutated Advanced Solid Tumors”  

This ensures standardized genetic mutation nomenclature and consistent medical indication formatting.",Success
32,Gene type,Gene type,Gene Mutated,✔,<Gene>-Mutated,Tumor immune microenvironment of KRAS G12C mutated pancreatic cancer as compared to other mutations and non-cancer pancreata.,KRAS G12C-Mutated Pancreatic Cancer ,"If the input contains the keyword “mutated” (or “mutate/mutation” in any grammatical form) in the context of genetic or molecular characterization, apply the following processing:  

1. Detect the gene symbol (1–10 uppercase letters ± numbers, e.g., “KRAS”, “BRCA1”) immediately preceding “mutated” or followed by a coded variant (e.g., “G12C”).  
2. Capture the entire gene descriptor, including any amino-acid or exon variant that is written between the gene name and the word “mutated”.  
3. Delete the standalone word “mutated/mutation” and append “-Mutated” directly to the captured gene descriptor with a single hyphen and no spaces.  
4. Preserve original capitalisation of the gene name and variant (e.g., “KRAS G12C” → “KRAS G12C-Mutated”).  
5. Place the resulting indication in the output list separated from other indications with “;;” if required, maintaining standardized genetic mutation nomenclature.",Success
33,Gene type,Gene type,Gene Low,✔,<Gene>-Low,Novel CDK12 inhibitors with preclinical anti-tumor activity and best-in-class profile on HER2 low breast cancer patient samples,HER2-Low Breast Cancer,"If the input contains the keyword ""Gene Low"" in the context of genetic or molecular characterization, apply the following processing: identify any gene or protein symbol that is directly followed by the descriptor ""low"" (e.g., ""HER2 low"", ""EGFR-low"", ""her2low""), then rewrite that phrase in the standardized format ""<Gene>-Low"" by (1) preserving the exact capitalization of the gene symbol, (2) inserting a single hyphen between the gene symbol and the word “Low”, (3) capitalizing the initial “L” in “Low”, and (4) removing all extraneous spaces, hyphens, or punctuation between the gene symbol and “Low”; when multiple distinct <Gene>-Low expressions are present, output each as a separate indication separated by “;;”, maintaining standardized genetic mutation nomenclature.",Success
34,Gene type,Gene type,Gene High,✔,<Gene>-High,"FS-1502 in patients with HER2 high expression, locally advanced or metastatic gastric or gastroesophageal junction adenocarcinoma: An open-label, multicenter, phase II study.",HER2-High Expressing Locally Advanced/Metastatic Gastric Adenocarcinoma;;HER2-High Expressing Locally Advanced/Metastatic Gastroesophageal Junction Adenocarcinoma,"If the input contains the keyword ""Gene High"" in the context of genetic or molecular characterization, apply the following processing: 

Replace every occurrence of a gene symbol immediately followed by the word “high” (e.g., “HER2 high”) or by the phrase “high expression” / “highly expressed” with the format “<Gene>-High Expressing”; preserve the exact gene symbol capitalisation, insert a single hyphen between the gene symbol and “High”, add one space before “Expressing”, and retain any subsequent disease, stage, or anatomical modifiers exactly as they appear.  Use "";;"" to separate multiple indications generated from the same abstract, maintaining standardized genetic mutation nomenclature.",Success
35,Gene type,Gene type,Gene Positive,✔,<Gene>-Positive,Rearranged active enhancers and promoter-enhancer contacts promote lipid metabolic reprogramming during secondary trastuzumab adaptation of HER2 positive breast cancer,HER2-Positive Breast Cancer,"If the input contains the keyword ""Gene Positive"" in the context of genetic or molecular characterization, apply the following processing: 

• Scan for any gene, oncogene, or proto-oncogene symbol (letters ± numbers, e.g., HER2, EGFR, ALK, BRAF) that is immediately followed—optionally separated by one space or one hyphen—by the word ""positive"" (case-insensitive, e.g., ""EGFR positive"", ""HER2-positive"", ""Her2 Positive"").  
• Extract the gene symbol and convert it to its standard all-caps form.  
• Delete any intervening filler terms such as ""receptor"", ""protein"", or ""gene"" that may appear between the symbol and ""positive"".  
• Concatenate the cleaned symbol with the suffix ""-Positive"", using exactly one hyphen and capitalizing the P: ""<Gene>-Positive"".  
• If a tumour descriptor follows the phrase (e.g., ""breast cancer"", ""NSCLC""), retain it after a single space without modification to yield strings such as ""HER2-Positive Breast Cancer"".  
• If more than one distinct gene-positive expression is present, transform each independently and join the resulting indications with the standard "";;"" separator in their order of appearance.  
• Do not alter other mutation or expression terms (e.g., ""Gene-Mutated"", ""Gene-Overexpressing"") encountered in the same sentence.  

This rule ensures consistent output formatting while maintaining standardized genetic mutation nomenclature.",Success
36,Gene type,Gene type,Gene +,**,Mention it as <Gene>-Postive. Do not add sign,Zanidatamab (zani) in previously treated HER2+ biliary tract cancer (BTC): Impact on patient-reported pain outcomes in the phase 2b HERIZON-BTC-01 study.,HER2-Positive Biliary Tract Cancer,"If the input contains the keyword pattern “Gene +” in the context of genetic or molecular characterization, apply contextual processing:  

• Detect any gene, protein, or receptor symbol (e.g., HER2, ALK, EGFR, CD20) that is immediately followed by a plus sign, allowing for optional white-space or punctuation between the symbol and “+” (regular expression example: /([A-Za-z0-9\-]+)\s*\+/).  
• For every match, output the captured symbol followed by “-Positive”, with no plus sign, no additional spaces, and the gene capitalization exactly as it appears in the source.  
• Example transformation: “HER2+” → “HER2-Positive”; “EGFR +” → “EGFR-Positive”.  
• Apply this replacement wherever the pattern occurs, including within compound disease phrases, then continue normal indication assembly using “;;” as the inter-indication separator.  
• Edge-case safeguards:  
  – Do not alter occurrences where “+” is part of dosage (e.g., “5 mg/kg + …”) or mathematical notation.  
  – Ignore lone “+” signs that are not directly attached to a gene symbol.  
This rule removes the “+” sign while standardizing to the “<Gene>-Positive” format, maintaining standardized genetic mutation nomenclature.",Success
37,Gene type,Gene type,Gene Negative,✔,<Gene>-Negative,A phase II trial of CapeOX plus nivolumab for early relapsed HER2-negative gastric cancer (JACCRO GC-11: FirSTAR trial).,HER2-Negative Gastric Cancer ,"If the input contains the keyword ""Gene Negative"" in the context of genetic or molecular characterization, apply the following processing: 

1. Detect any gene symbol or standardized gene name that is immediately followed by, immediately preceded by, or semantically linked to the word “negative” (e.g., “HER2 negative”, “negative for HER2”, “HER-2–negative”).  
2. Normalize the gene symbol to its official HGNC-approved uppercase form.  
3. Replace the entire phrase with the format “<Gene>-Negative”:  
   • Insert a single hyphen (“-”) directly between the gene symbol and the word “Negative”.  
   • Capitalize the initial “N” in “Negative”.  
   • Remove all surrounding spaces, parentheses, or alternative punctuation.  
4. Retain any accompanying disease term(s) exactly as they appear and place them after the normalized gene status, separated by a single space (e.g., “HER2-Negative Gastric Cancer”).  
5. When multiple gene-status indications are present, separate each complete indication with “;;”.  

This standardization must be carried out verbatim, maintaining standardized genetic mutation nomenclature.",Success
38,Gene type,Gene type,Gene-,**,<Gene>-Negative,"Comprehensive analysis of TROP2, PD-L1, stromal (s)TILs, and HER2 expression patterns in patients (pts) with metastatic HR+HER2- breast cancer.",Metastatic HR-Positive HER2-Negative Breast Cancer,"If the input contains the pattern “[Gene]-” in the context of genetic or molecular characterization—where “[Gene]” is an uppercase alphanumeric gene symbol (e.g., HER2-, EGFR-) immediately followed by a hyphen and NOT immediately followed by a mutation code, “positive/negative/overexpressing,” or another alphanumeric character—apply contextual processing:  

• Replace the solitary trailing hyphen with “-Negative,” producing the format “<Gene>-Negative.”  
• Retain the original gene symbol exactly as it appears (case-sensitive, no spaces).  
• Do not alter instances where the hyphen is part of a longer mutation notation (e.g., “EGFR-T790M”) or a compound phrase (e.g., “HER2-low”); leave these unchanged.  
• When multiple converted genes appear, separate each completed indication with “;;”.  
• This processing standardizes gene-negative status terminology, maintaining standardized genetic mutation nomenclature.",Success
39,Gene type,Gene type,Gene Expression,**,<Gene>-Expressing,Preliminary efficacy and safety results from RC48-C017: A phase II study of neoadjuvant treatment with disitamab vedotin plus toripalimab in patients with muscle invasive bladder cancer (MIBC) with HER2 expression.,HER2-Expressing Muscle-Invasive Bladder Cancer,"If the input contains the keyword ""Gene Expression"" in the context of genetic or molecular characterization, apply contextual processing: 

1. Detect a specific gene symbol (e.g., HER2, ERBB2, EGFR) that immediately precedes the word ""expression"" or the phrase ""gene expression,"" optionally separated by adjectives such as ""high,"" ""low,"" ""positive,"" ""aberrant,"" or ""over.""  
2. Strip away any qualifiers and replace the phrase ""[Gene] expression"" (or ""[qualifier] [Gene] expression"") with ""<Gene>-Expressing.""  
3. Insert a single hyphen between the canonical gene symbol and the word ""Expressing""; preserve the exact capitalization of the gene symbol.  
4. Map well-known synonyms to their preferred symbol before substitution (e.g., ERBB2 → HER2).  
5. When multiple distinct genes meet this condition in the same abstract, output each as a separate indication element and separate them with "";;"".  
6. Do not apply this transformation if ""gene expression"" is mentioned without a specific gene symbol or refers to global profiling (e.g., ""gene-expression signature"").  

This rule requires extraction and normalization of the gene symbol before conversion, maintaining standardized genetic mutation nomenclature.",Success
