ID,Abstract Title,Primary Drug,Secondary Drug,Comparator Drug,
20,Risk of serious bleeding with concomitant use of apixaban or rivaroxaban with amiodarone compared to flecainide or sotalol in patients with atrial fibrillation,"Amiodarone, Apixaban, Rivaroxaban",,Flecainide,
21,"Outcomes of second line platinum salvage and autologous stem cell transplant compared to CD19 CAR-T in patients with Relapsed/Refractory primary mediastinal B-cell lymphoma: A multi-center, retrospective analysis",Autologous Stem Cell,,CD19 CAR-T Cell,
22,"Randomized comparison between isatuximab-rd versus rd induction, followed by isa-R versus R maintenance in very elderly patients with NDMM: Efficacy data on MRD after induction (AGMT-MM04 Trial)","Dexamethasone, Isatuximab, Lenalidomide",,"Dexamethasone, Isatuximab, Lenalidomide",
23,"Final Results of randomized Phase II study of daratumumab, ixazomib, and dexamethasone (DId, ARM A) vs daratumumab, bortezomib and dexamethasone (DVd) followed by daratumumab, did (Arm B) in newly diagnosed multiple myeloma (DeRIVE) study","Daratumumab, Dexamethasone, Ixazomib",,"Daratumumab, DVD",
24,"Updated results from the frailty-stratified, randomised controlled bayesian adaptive trial of bortezomib versus lenalidomide in transplant ineligible myeloma (TI NDMM) - the FRAIL-m study (AMaRC 19-01; ALLG MM22)",Bortezomib,,Lenalidomide,
25,Comparative outcomes of posaconazole vs. voriconazole/isavuconazole for antifungal prophylaxis in neutropenic adults with Acute Myeloid Leukemia: A propensity-matched retrospective cohort study,Posaconazole,,"Isavuconazole, Voriconazole",
26,Randomized comparison of ponatinib versus imatinib in combination with chemotherapy in patients 55 years of age and older with newly diagnosed ph+ ALL: Molecular response and initial outcome analysis of the EWALL PH03 Study,Ponatinib,,Imatinib,
27,"Incidence of cardiac toxicities in patients with hematologic malignancies treated with zanubrutinib compared to control, including BTK inhibitor (Ibrutinib): A meta-analysis of randomized controlled trials",Zanubrutinib,,Ibrutinib,
28,Progression-free survival in patients with low health-related quality of life treated with zanubrutinib versus ibrutinib monotherapy: Post hoc analysis of the ALPINE trial,Zanubrutinib,,Ibrutinib,
29,"A phase 3, randomized, open-label, multicenter study of sonrotoclax (BGB-11417) plus anti-CD20 antibody therapies vs venetoclax plus rituximab in patients with relapsed/refractory chronic lymphocytic leukemia/small lymphocytic lymphoma (CLL-RR1/CELESTIAL-RRCLL)",Sonrotoclax,,Venetoclax,
30,Cyclophosphamide versus methotrexate for treating large granular lymphocyte leukemia: Real-world data insights,Cyclophosphamide,,Methotrexate,
31,"A Phase 2/3, multicenter, randomized, open-label study evaluating the efficacy and safety of etentamig and daratumumab compared to daratumumab, lenalidomide, and dexamethasone in frailer transplant-ineligible patients with newly diagnosed multiple myeloma","Daratumumab, Etentamig",,"Daratumumab, Dexamethasone, Lenalidomide",
32,"CaDAnCe-304, a phase 3, open-label, randomized study to evaluate the safety and efficacy of Bruton tyrosine kinase degrader BGB-16673 compared with pirtobrutinib in patients with relapsed/refractory chronic lymphocytic leukemia/small lymphocytic lymphoma",BGB-16673,,Pirtobrutinib,
33,Hyper-CVAD versus hyper-CVAD plus blinatumomab for adult patients with newly diagnosed Philadelphia chromosome-negative acute lymphoblastic leukemia: A propensity score analysis,Hyper-Cvad,,"Blinatumomab, Hyper-Cvad",
34,"Trial in progress: A phase 3, multi-regional, open-label, randomized study of tirabrutinib vs rituximab and temozolomide in participants with Relapsed/Refractory primary central nervous system lymphoma",Tirabrutinib,,"Rituximab, Temozolomide",
35,"MagnetisMM-6 part 2: A phase 3, open-label, randomized study of elranatamab in combination with daratumumab and lenalidomide vs daratumumab, lenalidomide, and dexamethasone in transplant-ineligible or -deferred patients with newly diagnosed multiple myeloma","Daratumumab, Elranatamab, Lenalidomide",,"Daratumumab, Dexamethasone, Lenalidomide",
36,"Golseek-1: A Phase 3, double-blind, randomized study of golcadomide (GOLCA), a potential, first-in-class, oral CELMoDT agent, + R-CHOP vs placebo + R-CHOP in patients with previously untreated, high-risk, large B-cell lymphoma","Golcadomide, R-Chop",,R-Chop,
37,Comparative effectiveness of CAR-T cell therapy vs. teclistamab in relapsed/refractory multiple myeloma: A real-world propensity-matched analysis revealing survival advantages and treatment disparities,Car-T Cell,,Teclistamab,
38,Incidence of severe chemotherapy-associated nausea and vomiting with brentuximab vedotin and AVD in comparison with ABVD using standard anti-emetic prophylaxis,"AVD, Brentuximab Vedotin",,ABVD,
39,Blinatumomab and ponatinib vs. hyper-CVAD and ponatinib in patients with Philadelphia-chromosome positive acute lymphoblastic leukemia: A propensity score analysis,"Blinatumomab, Ponatinib",,"Hyper-Cvad, Ponatinib",
40,"MRD-guided ibrutinib plus venetoclax improves outcomes in CLL patients with TP53, ATM, or NOTCH1 aberrations compared to ibrutinib and FCR: Results from the Phase III NCRI FLAIR trial","Ibrutinib, Venetoclax",,Ibrutinib,
41,Real-world comparative outcomes of pola-R-CHP versus R-CHOP in patients with diffuse large B-cell lymphoma,Pola-R-Chp,,R-Chop,
42,Sustained efficacy of zanubrutinib (zanu) vs bendamustine + rituximab (BR) in treatment (tx)-naive chronic lymphocytic leukemia/small lymphocytic lymphoma (TN SLL/CLL) and continued favorable survival in non-randomized patients (pts) with del(17p): 6-year follow-up in the phase 3 SEQUOIA study,Zanubrutinib,,"Bendamustine, Rituximab",
43,Acalabrutinib monotherapy versus acalabrutinib plus obinutuzumab combination therapy in treatment-naïve chronic lymphocytic leukemia: A ‘real-world’ study of efficacy and safety at a tertiary academic medical center,Acalabrutinib,,"Acalabrutinib, Obinutuzumab",
44,Evaluation of a newly formulated intranasal desmopressin versus intranasal and subcutaneous desmopressin in individuals with type 1 von Willebrand disease and mild Hemophilia A,Desmopressin,,Desmopressin,
45,"A multicenter, randomized, open-label study of dexamethasone versus romiplostim plus dexamethasone as first line treatment in patients with newly diagnosed immune thrombocytopenia: Interim results of rodex study",Dexamethasone,,"Dexamethasone, Romiplostim",
46,Real-world treatment patterns & outcomes among patients with immune thrombocytopenia (ITP) who switched treatment from eltrombopag or romiplostim to avatrombopag in the United States: Results from the real-AVA 3.5 study,Avatrombopag,,"Eltrombopag, Romiplostim",
47,CAR T-cell therapy versus autologous HSCT in patients with large B-cell lymphoma in complete remission: An analysis from the EBMT lymphoma working party,Car T-Cell,,Autologous Hematopoietic Stem Cell,
48,Real-world comparative outcomes of CAR-T cell therapy versus pomalidomide-based regimens in relapsed/refractory multiple myeloma: A propensity-matched cohort study,CAR-T Cell,,Pomalidomide,
49,"Real world evidence comparing idecabtagene vicleucel (Ide-cel, Abecma) versus ciltacabtagene autoleucel (Cilta-cel, Carvykti) chimeric antigen receptor T-cell (CART) therapy among patients with Relapsed/Refractory multiple myeloma (RRMM)",Idecabtagene Vicleucel,,Ciltacabtagene Autoleucel,
50,Longitudinal assessments of minimal residual disease in high-risk patients from benefit phase 3 randomized Study of isatuximab plus lenalidomide and dexamethasone with bortezomib (Isa-VRd) versus isard in newly diagnosed transplant ineligible multiple myeloma. (IFM 2020-05),Isa-VRd,,ISARD,
51,Axicabtagene ciloleucel versus tisagenlecleucel in relapsed or refractory diffuse large B-cell lymphoma,Axicabtagene Ciloleucel,,Tisagenlecleucel,
52,Acalabrutinib vs zanubrutinib as first-line therapy in CLL: A propensity score-matched study,Acalabrutinib,,Zanubrutinib,
53,Propensity score matched comparison of outcomes following treatment with pola-R-CHP versus R-CHOP for diffuse large B cell lymphoma patients captured in a real-world database,Pola-R-Chp,,R-Chop,
54,Short-term outcomes of rituximab versus thrombopoietin receptor agonists in Myelodysplastic Syndromes: A 90-day propensity-matched analysis using real-world data,Rituximab,,Thrombopoietin,
55,A comparison of overall survival and quality of life in MDS patients treated with azacytidine vs decitabine: A propensity matched registry Study,Azacytidine,,Decitabine,
56,Comparative safety and efficacy of bendamustine versus fludarabine/cyclophosphamide prior to chimeric antigen receptor- T cell therapy: A systematic review and meta-analysis,Bendamustine,,"Cyclophosphamide, Fludarabine",
57,Efficacy and safety of pozelimab plus cemdisiran versus ravulizumab in patients with paroxysmal nocturnal hemoglobinuria who received prior C5 therapy,"Cemdisiran, Pozelimab",,Ravulizumab,
58,"Preliminary analysis of a phase 2b, randomized, active-control study of flonoltinib maleate (FM) vs. ruxolitinib in intermediate-2 or high-risk myelofibrosis patients",Flonoltinib Maleate,,Ruxolitinib,
59,Ruxolitinib versus allogeneic stem cell transplantation for patients with myelofibrosis according to donor availability: A prospective multicenter phase II trial,Ruxolitinib,,Allogeneic Stem Cell,
60,Comparative risk of thrombosis in adults with primary immune thrombocytopenia treated with eltrombopag versus romiplostim: A target trial emulation in the french adult immune thrombocytopenia (FAITH) cohort,Eltrombopag,,Romiplostim,
61,Ruxolitinib and interferon alfa induce superior rates of complete peripheral blood count remission compared to anagrelide in hydroxyurea-exposed essential thrombocythemia,"Interferon Alfa, Ruxolitinib",,Anagrelide,
62,PET-adaptive beacopp- versus ABVD-based therapies for advanced-stage (AS) classic Hodgkin lymphoma (cHL): Survival comparisons leveraging a multi-state model and analyzing the impact of a-hipi scores across the disease course,Beacopp,,Abvd,
63,Frontline nilotinib vs dasatinib in newly diagnosed chronic phase chronic myeloid leukemia: A propensity score analysis based on AIFA monitoring registries,Nilotinib,,Dasatinib,
64,Siltuximab versus tocilizumab for the management of CAR T-cell associated cytokine release syndrome,Siltuximab,,Tocilizumab,
65,Prospera (ABNL-MARRO 002): A randomized phase 2 study of pacritinib vs. hydroxyurea in patients with advanced proliferative chronic myelomonocytic leukemia (CMML),Pacritinib,,Hydroxyurea,
66,"Early Results of comparison of low-dose generic dasatinib (50 MG/Day) versus imatinib (400 MG/Day) in newly diagnosed chronic Phase chronic myeloid leukemia: Real-world evidence from a single-center, randomized controlled study from India",Dasatinib,,Imatinib,
67,Efficacy of motixafortide plus G-CSF versus plerixafor plus G-CSF for stem cell mobilization and collection in multiple myeloma: A single-center comparative analysis and interim Results from a prospective study in poor mobilizers,"G-CSF, Motixafortide",,"G-Csf, Plerixafor",
68,MRD-guided outcome analysis of ponatinib plus hyper-CVAD versus historical imatinib in ph-positive ALL: Impact of early response and dose-adjusted ponatinib,"Hyper-Cvad, Ponatinib",,Ponatinib,
69,Superior efficacy and persistence of Orca-T-allogeneic CAR19/22 versus autologous CAR19/22 in high-risk adult B-ALL,Orca-T Allogeneic CAR19/22,,Autologous CAR19/22,
70,Indirect comparison of efficacy of zanubrutinib vs ibrutinib for the treatment of relapsed/refractory mantle cell lymphoma,Zanubrutinib,,Ibrutinib,
71,EZH2 and CREBBP mutation status identify a subset of patients who benefit from bendamustine- over CHOP/CVP-based immunochemotherapies in follicular lymphoma: Findings from the GALLIUM trial and validation in a large international cohort,Bendamustine,,"CHOP, CVP",
72,"International, prospective study comparing nilotinib versus imatinib with early switch to nilotinib to obtain sustained treatment-free remission (TFR) in patients with chronic myeloid leukemia: The tfr rate at the end of follow-up",Nilotinib,,"Imatinib, Nilotinib",
73,Outcomes of elderly (? 70) Acute Myeloid Leukemia (AML) patients receiving continued hypomethylating agent/venetoclax (HMA/VEN) versus allogeneic hematopoietic cell transplantation (HCT),Venetoclax,,Allogeneic Hematopoietic Cell,
74,Inotuzumab ozogamicin vs blinatumomab bridging optimization and second CD19 CAR-T efficacy in Relapsed/Refractory B-ALL,Inotuzumab Ozogamicin,,Blinatumomab,
75,Bortezomib-melphalan-prednisone (VMP) +/- daratumumab (DVMP) vs. lenalidomide-dexamethasone (Rd) +/- daratumumab (DRd) in transplant-ineligible real-life multiple myeloma patients: Results from the randomized phase IV real MM trial,"Bortezomib, Melphalan, Prednisone",Daratumumab,"Daratumumab, Lenalidomide/Dexamethasone",
76,Population differences and comparative efficacy between ciltacabtagene autoleucel (cilta-cel) from the cartitude-1 study and anitocabtagene autoleucel (anito-cel) from the iMMagine-1 study in patients with relapsed / refractory multiple myeloma (RRMM),Ciltacabtagene Autoleucel,,Anitocabtagene Autoleucel,
77,"Orelabrutinib plus bendamustine-rituximab (OBR) Versus Bendamustine-rituximab (BR) in transplant-ineligible, intermediate- to high-risk Mantle Cell Lymphoma (MCL)","Bendamustine, Orelabrutinib, Rituximab",,"Bendamustine, Rituximab",
78,"Subgroup analyses from the randomized, Phase 3 VERONA study of venetoclax with azacitidine (Ven+Aza) versus placebo with azacitidine (Pbo+Aza) in patients with treatment-naïve, intermediate and higher-risk Myelodysplastic Syndromes (HR MDS)","Azacitidine, Venetoclax",,Azacitidine,
79,Comparison of autologous HCT versus haploidentical donor HCT for Ph+ B-ALL patients following TKI therapy. a study from the global committee and the acute leukemia working party of the european society for blood and marrow transplantation,Autologous Hematopoietic Stem Cell,,Haploidentical Donor Hematopoietic Stem Cell,
80,An open label randomized Study of low dose dasatinib (50 mg OD) vs standard dose dasatinib (100 mg OD) vs standard dose imatinib (400 mg OD) as upfront therapy in patients with newly diagnosed chronic myeloid leukemia (CML) - chronic Phase (CP),Dasatinib,,"Dasatinib, Imatinib",
81,A randomized Phase II trial of ASTX727 and venetoclax with or without enasidenib for newly diagnosed older adults with IDH2 mutant Acute Myeloid Leukemia: A myelomatch substudy (MM1OA-S03),"ASTX-727, Venetoclax",,Enasidenib,
82,Orca-T demonstrates favorable quality of life and healthcare resource use compared to standard allohsct plus tac/MTX for GVHD prevention in a randomized Phase 3 clinical trial (Precision-T),Orca-T,,"Allogeneic Hematopoietic Stem Cell, Methotrexate, Tacrolimus",
83,Observational comparison of orca-T to registry-based post-transplant cyclophosphamide patients using matched unrelated donors,Orca-T,,Cyclophosphamide,
84,Flumatinib versus nilotinib as first-line therapy for chronic myeloid leukemia in chronic Phase: A propensity score-matched cohort study,Flumatinib,,Nilotinib,
85,Topical cyclosporine vs tacrolimus for ocular GVHD prophylaxis after outpatient allogeneic hematopoietic stem cell transplantation: A Phase I-II trial,Cyclosporine,,Tacrolimus,
86,Comparison of 80 mg/kg vs. 100 mg/kg post-transplant cyclophosphamide dose with flu/mel and allogeneic transplant: Less is not more,Cyclophosphamide,,"Allogeneic Stem Cell, Fludarabine, Melphalan",
87,Trial in progress: Efficacy and safety of givinostat versus hydroxyurea in patients with polycythemia vera (GIV-IN-PV),Givinostat,,Hydroxyurea,
88,"Post-transplant cyclophosphamide vs tacrolimus/methotrexate: Improved GRFS, reduced NRM, and less severe GVHD in myeloablative HLA-matched allogeneic transplantation",Cyclophosphamide,,Tacrolimus/Methotrexate,
89,"A randomized phase 2 trial of CPX-351 vs. CLAG-m (Cladribine, High-Dose Cytarabine, G-CSF, and Mitoxantrone) in medically less-fit adults with previously untreated acute myeloid leukemia (AML) or other high-grade myeloid neoplasms",CPX-351,,"Cladribine, Cytarabine, G-Csf, Mitoxantrone",
90,"Comparing CHOP, R-CHOP, R-EPOCH, and DA-EPOCH-R in HIV-associated diffuse large B-cell lymphoma: A meta-analysis and systematic review",CHOP,,"Da-Epoch-R, R-Chop, R-Epoch",
91,Comparable remission rates in therapy-related and myelodysplasia-related Acute Myeloid Leukemia (AML) versus de novo AML treated with azacitidine and venetoclax: A contemporary real-world study.,"Azacitidine, Venetoclax",,"Azacitidine, Venetoclax",
92,A retrospective survival outcomes analysis of acute erythroid leukemia patients treated with upfront 7+3 induction chemotherapy versus hypomethylating agents with venetoclax utilizing real-world data,7+3,,Venetoclax,
93,Incidence of heart failure in patients with acute myeloid leukemia who received daunorubicin versus idarubicin: An analysis of the trinetx database,Daunorubicin,,Idarubicin,
94,CPX-351 versus venetoclax plus hypomethylating agents in newly diagnosed acute myeloid leukemia: A comparative analysis of outcomes in 600 patients,Cpx-351,,Venetoclax,
95,Venetoclax-azacitidine in combination with chidamide and CAG versus daunorubicin and cytarabine in newly diagnosed AML,"Azacitidine, CAG, Chidamide",,"Cytarabine, Daunorubicin",
96,"Carfilzomib, lenalidomide, and dexamethasone (KRd) versus bortezomib, lenalidomide and dexamethasone (VRd) in patients with newly diagnosed multiple myeloma (NDMM) - interim results from the randomized Phase III COBRA trial.","Carfilzomib, Dexamethasone, Lenalidomide",,"Bortezomib, Dexamethasone, Lenalidomide",
97,3-year follow-up of the S1826 study confirms improved progression-free survival with nivolumab-AVD compared to brentuximab vedotin-AVD in advanced stage classic Hodgkin lymphoma,"AVD, Nivolumab",,"AVD, Brentuximab Vedotin",
98,Final analysis of the Phase III GHSG HD21 trial: PET-guided brecadd vs. ebeacopp in advanced-stage classical Hodgkin lymphoma,Brecadd,,Ebeacopp,
99,Clinical prognostication in the SWOG 1826 randomized clinical trial of nivolumab-AVD versus brentuximab-AVD: Performance of the advanced-stage Hodgkin lymphoma international prognostic index (A-HIPI),"AVD, Nivolumab",,"AVD, Brentuximab Vedotin",
100,Target dose delivery comparison: Ibrutinib + venetoclax vs. acalabrutinib + venetoclax in treatment-Naïve CLL patients in prospective clinical trials,"Ibrutinib, Venetoclax",,"Acalabrutinib, Venetoclax",
101,"Liposomal mitoxantrone versus chidamide in relapsed/refractory peripheral T-cell lymphoma: Final analysis from the multicenter, prospective randomized phase 3 study",Mitoxantrone,,Chidamide,
102,Acalabrutinib versus venetoclax plus obinutuzumab in treatment-naive chronic lymphocytic leukemia: A real-world propensity score-matched study,Acalabrutinib,,"Obinutuzumab, Venetoclax",
103,Daratumumab versus lenalidomide as maintenance therapy in newly diagnosed multiple myeloma - final results from a randomized investigator-initiated trial,Daratumumab,,Lenalidomide,
104,Primary analysis of the phase 3 randomized trial of selinexor and lenalidomide versus lenalidomide alone as maintenance therapy post autologous stem cell transplant for patients with newly diagnosed multiple myeloma (ALLG MM23; SEALAND),"Lenalidomide, Selinexor",,Lenalidomide,
105,"Health-related quality of life (HRQoL) in patients with newly diagnosed multiple myeloma (NDMM) eligible for transplantation and treated with isatuximab, lenalidomide, bortezomib, and dexamethasone (Isa-RVd) versus rvd alone: Results from part 1 of the GMMG-HD7 study","Bortezomib, Dexamethasone, Isatuximab, Lenalidomide",,"Bortezomib, Dexamethasone, Lenalidomide",
106,"Comparative efficacy of ciltacabtagene autoleucel (cilta-cel) versus belantamab mafodotin (belamaf), bortezomib, and dexamethasone and versus belamaf, pomalidomide, and dexamethasone in patients with relapsed / refractory multiple myeloma (RRMM) previously treated with 1-3 prior lines of therapy using a matching-adjusted indirect comparison",Ciltacabtagene Autoleucel,,"Belantamab Mafodotin, Bortezomib, Dexamethasone",
107,"Isatuximab (Isa) subcutaneous (SC) via an on-body injector (OBI) vs isa intravenous (IV), plus pomalidomide and dexamethasone (Pd) in relapsed/refractory multiple myeloma (RRMM): East asia subgroup results from the randomized, non-inferiority, phase 3 iraklia study",Isatuximab,,"Dexamethasone, Isatuximab, Pomalidomide",
108,Minimal residual disease dynamics in post-transplant patients with newly diagnosed multiple myeloma who received daratumumab plus lenalidomide versus lenalidomide alone as maintenance therapy in the auriga study,"Daratumumab, Lenalidomide",,Lenalidomide,
109,A single-centre comparison of thiotepa-treosulfan versus thiotepa-busulfan based conditioning regimens in adults with haematological malignancies undergoing allogeneic haematopoietic stem cell transplant.,Thiotepa-Treosulfan,,Busulfan-Thiotepa,
110,Comparative outcomes of fludarabine-melphalan versus fludarabine-busulfan reduced-intensity conditioning for allogeneic hematopoietic stem cell transplantation in patients with hematologic malignancies: A systematic review and meta-analysis,"Fludarabine, Melphalan",,"Busulfan, Fludarabine",
111,Treosulfan-based vs. busulfan-based conditioning for hematopoietic stem cell transplantation: A systematic review and meta-analysis.,Treosulfan,,Busulfan,
112,Melphalan versus cyclophosphamide combined with fludarabine and low dose total body irradiation (TBI) prior to ptcy-based allogeneic transplantation,Melphalan,,"Cyclophosphamide, Fludarabine",
113,Salvage allogeneic hematopoietic stem cell transplantation conditioning regimens for relapsed/refractory acute leukemia: Efficacy of radiotherapy combined with CLAG vs FLAG,"Allogeneic Hematopoietic Stem Cell, CLAG",,FLAG,
114,"10-day decitabine versus conventional chemotherapy (""3+7"") followed by allografting in AML patients ? 60 years: Long-term follow-up results of the randomized phase III trial AML21 of the EORTC leukemia group, GIMEMA and german MDS Study group",Decitabine,,3+7,
115,S2005: A phase II randomized study comparing ibrutinib and rituximab (IR) VS. venetoclax and rituximab (VR) in previously untreated waldenstrom's macroglobulinemia (WM) / lymphoplasmacytic lymphoma (LPL).,"Ibrutinib, Rituximab",,"Rituximab, Venetoclax",
116,Safety and efficacy of post transplant cyclophosphamide vs tacrolimus plus methotrexate for gvhd prophylaxis in myelofibrosis,Cyclophosphamide,,"Methotrexate, Tacrolimus",
117,"Venetoclax-azacitidine-chidamide plus CAG (CACAG-VEN) versus ""3+7"" induction chemotherapy in Intermediate-adverse Acute Myeloid Leukemia: Efficacy and safety","Azacitidine, CAG, Chidamide, Venetoclax",,3+7,
118,Real-world evidence demonstrates superior overall survival and favorable safety of avapritinib over midostaurin in newly diagnosed advanced systemic mastocytosis,Avapritinib,,Midostaurin,
119,"Fludarabine and total body irradiation 800 cgy or 1125 cgy for allogeneic stem cell transplant using graft versus host disease prophylaxis with post-transplant cyclophosphamide and tacrolimus, without mycophenolate mofetil (OmitMMF trial)",Fludarabine,,"Cyclophosphamide, Tacrolimus",
120,"Venetoclax combined with three-day multi-frequency decitabine (DEC3-VEN) VS venetoclax combined with azacitidine in elderly patients with Acute Myeloid Leukemia:a phase III, prospective, multicenter, randomized controlled trial","Decitabine, Venetoclax",,"Azacitidine, Venetoclax",
121,Final analysis of the randomized phase 2 ROSEWOOD study of zanubrutinib + obinutuzumab vs obinutuzumab monotherapy in patients with relapsed/refractory follicular lymphoma,"Obinutuzumab, Zanubrutinib",,Obinutuzumab,
122,First-line therapy with rituximab vs. rituximab-CHOP in post-transplant monomorphic diffuse large B-cell lymphoma (DLBCL): Long-term real-world evidence from the spanish group of lymphoma (GELTAMO),Rituximab,,"CHOP, Rituximab",
123,Oral etoposide vs intravenous daunorubicin plus ATRA-RIF as induction therapy for low-risk acute promyelocytic leukemia: A phase II randomized controlled Trial,Etoposide,,Daunorubicin,
124,Response-adapted treatment with mosunetuzumab with or without obinutuzumab and polatuzumab vedotin in treatment naïve follicular and marginal zone lymphoma: Final results and phased-seq MRD analysis,Mosunetuzumab,"Obinutuzumab, Polatuzumab Vedotin",,
125,"An open-label, Phase 2 study of dapolsertib (MEN1703, SEL24) as monotherapy and in combination with glofitamab in patients with relapsed or refractory aggressive B-cell non-Hodgkin lymphoma",Dapolsertib,Glofitamab,,
126,"A chemotherapy-free regimen of sintilimab, rituximab, and lenalidomide ± polatuzumab vedotin in elderly patients with newly diagnosed diffuse large B-cell lymphoma","Lenalidomide, Rituximab, Sintilimab",Polatuzumab Vedotin,,
127,Thrombotic outcomes in sickle cell disease patients treated with crizanlizumab with or without hydroxyurea: A real-world retrospective cohort analysis using the trinetx database,Crizanlizumab,Hydroxyurea,,
128,Time to third-line treatment after bendamustine-rituximab with or without acalabrutinib in patients with previously untreated mantle cell lymphoma: Updated analysis of the phase 3 ECHO trial after 50 months of follow-up,"Bendamustine, Rituximab",Acalabrutinib,,
